oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
WFOv2,1.61,SVM,0.864,0.525,0.586,0.089,0.554,0.748,0.713,0.3
WFOv2,1.61,KNN,0.871,0.554,0.536,0.073,0.545,0.732,0.679,0.332
WFOv2,1.61,LR,0.798,0.371,0.575,0.164,0.451,0.705,0.681,0.322
WFOv2,1.61,DT,0.859,0.511,0.514,0.083,0.512,0.715,0.659,0.349
WFOv2,1.61,RF,0.91,0.798,0.503,0.021,0.617,0.741,0.664,0.352
WFOv2,1.61,LightGBM,0.873,0.554,0.597,0.081,0.574,0.758,0.724,0.291
WFOv2,1.61,Adaboost,0.81,0.407,0.691,0.169,0.512,0.761,0.754,0.249
WFOv2,1.61,GBDT,0.851,0.486,0.591,0.105,0.534,0.743,0.712,0.299
