oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.903,0.928,0.354,0.005,0.512,0.674,0.522,0.457
No,0,KNN,0.897,0.72,0.47,0.031,0.569,0.719,0.633,0.376
No,0,LR,0.865,0.634,0.144,0.014,0.234,0.565,0.251,0.606
No,0,DT,0.844,0.459,0.459,0.091,0.459,0.684,0.61,0.388
No,0,RF,0.896,0.73,0.448,0.028,0.555,0.71,0.613,0.391
No,0,LightGBM,0.902,0.779,0.448,0.021,0.568,0.713,0.614,0.391
No,0,Adaboost,0.903,0.786,0.448,0.02,0.57,0.714,0.614,0.391
No,0,GBDT,0.887,0.647,0.475,0.044,0.548,0.716,0.635,0.372
Random,0.01,SVM,0.86,0.512,0.569,0.091,0.539,0.739,0.7,0.311
Random,0.01,KNN,0.829,0.433,0.586,0.129,0.498,0.728,0.7,0.307
Random,0.01,LR,0.78,0.349,0.608,0.191,0.444,0.708,0.694,0.308
Random,0.01,DT,0.826,0.416,0.503,0.119,0.455,0.692,0.64,0.362
Random,0.01,RF,0.885,0.641,0.464,0.044,0.538,0.71,0.625,0.38
Random,0.01,LightGBM,0.873,0.559,0.547,0.073,0.553,0.737,0.688,0.324
Random,0.01,Adaboost,0.833,0.443,0.619,0.131,0.516,0.744,0.723,0.285
Random,0.01,GBDT,0.837,0.447,0.558,0.116,0.496,0.721,0.684,0.323
SMOTE,0.01,SVM,0.833,0.442,0.591,0.126,0.506,0.733,0.705,0.302
SMOTE,0.01,KNN,0.797,0.373,0.602,0.17,0.461,0.716,0.698,0.306
SMOTE,0.01,LR,0.767,0.33,0.602,0.206,0.427,0.698,0.685,0.317
SMOTE,0.01,DT,0.811,0.391,0.558,0.146,0.46,0.706,0.675,0.329
SMOTE,0.01,RF,0.872,0.557,0.541,0.073,0.549,0.734,0.684,0.328
SMOTE,0.01,LightGBM,0.878,0.581,0.552,0.067,0.567,0.743,0.694,0.32
SMOTE,0.01,Adaboost,0.851,0.486,0.575,0.102,0.527,0.736,0.701,0.309
SMOTE,0.01,GBDT,0.857,0.505,0.564,0.093,0.533,0.735,0.695,0.316
ADASYN,0.03,SVM,0.661,0.254,0.696,0.345,0.372,0.675,0.675,0.325
ADASYN,0.03,KNN,0.772,0.345,0.646,0.207,0.45,0.72,0.712,0.29
ADASYN,0.03,LR,0.663,0.236,0.597,0.326,0.338,0.635,0.633,0.367
ADASYN,0.03,DT,0.801,0.37,0.541,0.155,0.439,0.693,0.66,0.342
ADASYN,0.03,RF,0.856,0.5,0.525,0.088,0.512,0.718,0.666,0.342
ADASYN,0.03,LightGBM,0.851,0.486,0.569,0.101,0.524,0.734,0.697,0.313
ADASYN,0.03,Adaboost,0.771,0.34,0.624,0.204,0.441,0.71,0.7,0.302
ADASYN,0.03,GBDT,0.845,0.469,0.547,0.104,0.505,0.721,0.679,0.329
BorderlineSMOTE,0.03,SVM,0.692,0.268,0.652,0.301,0.379,0.676,0.675,0.325
BorderlineSMOTE,0.03,KNN,0.782,0.35,0.597,0.187,0.441,0.705,0.688,0.314
BorderlineSMOTE,0.03,LR,0.706,0.25,0.519,0.263,0.338,0.628,0.609,0.387
BorderlineSMOTE,0.03,DT,0.812,0.381,0.486,0.133,0.427,0.677,0.623,0.375
BorderlineSMOTE,0.03,RF,0.862,0.522,0.53,0.082,0.526,0.724,0.672,0.337
BorderlineSMOTE,0.03,LightGBM,0.857,0.502,0.558,0.093,0.529,0.732,0.691,0.319
BorderlineSMOTE,0.03,Adaboost,0.783,0.352,0.597,0.185,0.443,0.706,0.689,0.314
BorderlineSMOTE,0.03,GBDT,0.847,0.474,0.547,0.102,0.508,0.722,0.68,0.328
SVMSMOTE,0.49,SVM,0.836,0.448,0.597,0.124,0.512,0.736,0.71,0.298
SVMSMOTE,0.49,KNN,0.813,0.404,0.624,0.155,0.49,0.734,0.718,0.288
SVMSMOTE,0.49,LR,0.786,0.359,0.619,0.186,0.454,0.716,0.703,0.3
SVMSMOTE,0.49,DT,0.812,0.389,0.53,0.141,0.449,0.695,0.656,0.347
SVMSMOTE,0.49,RF,0.87,0.553,0.519,0.071,0.536,0.724,0.666,0.344
SVMSMOTE,0.49,LightGBM,0.873,0.559,0.547,0.073,0.553,0.737,0.688,0.324
SVMSMOTE,0.49,Adaboost,0.852,0.489,0.613,0.108,0.544,0.753,0.727,0.284
SVMSMOTE,0.49,GBDT,0.857,0.505,0.536,0.088,0.52,0.724,0.675,0.334
SMOTUNED,185.67,SVM,0.868,0.539,0.575,0.083,0.556,0.746,0.707,0.306
SMOTUNED,87.34,KNN,0.764,0.331,0.624,0.212,0.433,0.706,0.697,0.305
SMOTUNED,1363.47,LR,0.74,0.314,0.674,0.249,0.428,0.713,0.711,0.29
SMOTUNED,80.42,DT,0.708,0.272,0.613,0.277,0.377,0.668,0.664,0.336
SMOTUNED,260.61,RF,0.838,0.456,0.624,0.126,0.527,0.749,0.728,0.28
SMOTUNED,159.5,LightGBM,0.793,0.379,0.685,0.189,0.488,0.748,0.743,0.26
SMOTUNED,302.81,Adaboost,0.82,0.418,0.63,0.148,0.502,0.741,0.724,0.282
SMOTUNED,471.46,GBDT,0.75,0.326,0.691,0.24,0.443,0.725,0.724,0.277
DAZZLE,1880.4940133094788,SVM,0.9,0.811,0.403,0.016,0.539,0.694,0.572,0.422
