oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
WFO,0.12,SVM,0.469,0.203,0.917,0.607,0.332,0.655,0.55,0.433
WFO,0.12,KNN,0.839,0.455,0.586,0.118,0.512,0.734,0.704,0.305
WFO,0.12,LR,0.271,0.163,0.983,0.849,0.28,0.567,0.262,0.601
WFO,0.12,DT,0.863,0.525,0.514,0.078,0.52,0.718,0.66,0.348
WFO,0.12,RF,0.907,0.762,0.514,0.027,0.614,0.743,0.672,0.344
WFO,0.12,LightGBM,0.83,0.437,0.613,0.133,0.51,0.74,0.718,0.289
WFO,0.12,Adaboost,0.68,0.285,0.807,0.342,0.421,0.732,0.725,0.278
WFO,0.12,GBDT,0.821,0.418,0.619,0.145,0.499,0.737,0.718,0.288
