oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.915,0.93,0.442,0.006,0.599,0.718,0.612,0.395
No,0,KNN,0.905,0.754,0.508,0.028,0.607,0.74,0.668,0.348
No,0,LR,0.871,0.721,0.171,0.011,0.277,0.58,0.292,0.586
No,0,DT,0.858,0.508,0.558,0.091,0.532,0.733,0.691,0.319
No,0,RF,0.914,0.807,0.53,0.021,0.64,0.754,0.688,0.332
No,0,LightGBM,0.922,0.861,0.547,0.015,0.669,0.766,0.703,0.321
No,0,Adaboost,0.916,0.826,0.525,0.019,0.642,0.753,0.684,0.336
No,0,GBDT,0.896,0.676,0.541,0.044,0.601,0.749,0.691,0.326
Random,0.01,SVM,0.882,0.582,0.646,0.078,0.613,0.784,0.76,0.256
Random,0.01,KNN,0.841,0.463,0.624,0.122,0.532,0.751,0.73,0.279
Random,0.01,LR,0.796,0.379,0.646,0.179,0.478,0.734,0.723,0.28
Random,0.01,DT,0.859,0.511,0.525,0.085,0.518,0.72,0.667,0.341
Random,0.01,RF,0.908,0.744,0.547,0.032,0.631,0.758,0.699,0.321
Random,0.01,LightGBM,0.9,0.661,0.624,0.054,0.642,0.785,0.752,0.268
Random,0.01,Adaboost,0.867,0.528,0.718,0.108,0.609,0.805,0.796,0.213
Random,0.01,GBDT,0.858,0.507,0.613,0.101,0.555,0.756,0.729,0.283
SMOTE,0.02,SVM,0.841,0.466,0.674,0.13,0.551,0.772,0.759,0.248
SMOTE,0.02,KNN,0.829,0.44,0.685,0.147,0.536,0.769,0.76,0.246
SMOTE,0.02,LR,0.757,0.332,0.68,0.23,0.446,0.725,0.722,0.279
SMOTE,0.02,DT,0.834,0.444,0.591,0.125,0.507,0.733,0.706,0.302
SMOTE,0.02,RF,0.895,0.645,0.602,0.056,0.623,0.773,0.735,0.284
SMOTE,0.02,LightGBM,0.903,0.677,0.624,0.05,0.649,0.787,0.753,0.268
SMOTE,0.02,Adaboost,0.866,0.529,0.663,0.1,0.588,0.782,0.764,0.249
SMOTE,0.02,GBDT,0.868,0.536,0.613,0.089,0.572,0.762,0.733,0.281
ADASYN,0.03,SVM,0.652,0.261,0.773,0.369,0.391,0.702,0.695,0.306
ADASYN,0.03,KNN,0.806,0.402,0.718,0.18,0.516,0.769,0.766,0.236
ADASYN,0.03,LR,0.65,0.24,0.657,0.351,0.352,0.653,0.653,0.347
ADASYN,0.03,DT,0.82,0.411,0.575,0.139,0.479,0.718,0.689,0.316
ADASYN,0.03,RF,0.884,0.594,0.613,0.071,0.603,0.771,0.739,0.278
ADASYN,0.03,LightGBM,0.873,0.552,0.646,0.088,0.595,0.779,0.756,0.258
