oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.905,0.97,0.354,0.002,0.518,0.676,0.522,0.457
No,0,KNN,0.895,0.681,0.508,0.04,0.582,0.734,0.665,0.349
No,0,LR,0.873,0.769,0.166,0.008,0.273,0.579,0.284,0.59
No,0,DT,0.848,0.475,0.525,0.098,0.499,0.714,0.664,0.343
No,0,RF,0.9,0.735,0.475,0.029,0.577,0.723,0.638,0.372
No,0,LightGBM,0.912,0.826,0.497,0.018,0.621,0.74,0.66,0.356
No,0,Adaboost,0.916,0.879,0.481,0.011,0.621,0.735,0.647,0.367
No,0,GBDT,0.888,0.632,0.541,0.053,0.583,0.744,0.689,0.326
Random,0.01,SVM,0.877,0.567,0.635,0.082,0.599,0.777,0.751,0.264
Random,0.01,KNN,0.841,0.464,0.674,0.131,0.55,0.771,0.759,0.248
Random,0.01,LR,0.794,0.365,0.575,0.169,0.446,0.703,0.68,0.324
Random,0.01,DT,0.849,0.481,0.552,0.101,0.514,0.726,0.685,0.324
Random,0.01,RF,0.894,0.669,0.525,0.044,0.588,0.741,0.678,0.337
Random,0.01,LightGBM,0.888,0.612,0.619,0.066,0.615,0.776,0.744,0.274
Random,0.01,Adaboost,0.815,0.408,0.624,0.153,0.493,0.736,0.719,0.287
Random,0.01,GBDT,0.85,0.485,0.613,0.11,0.541,0.752,0.726,0.284
SMOTE,0.02,SVM,0.839,0.46,0.669,0.132,0.545,0.768,0.755,0.252
SMOTE,0.02,KNN,0.818,0.418,0.68,0.159,0.518,0.76,0.752,0.253
SMOTE,0.02,LR,0.771,0.338,0.619,0.204,0.438,0.707,0.696,0.306
SMOTE,0.02,DT,0.819,0.408,0.564,0.138,0.473,0.713,0.682,0.324
SMOTE,0.02,RF,0.871,0.549,0.586,0.081,0.567,0.752,0.715,0.299
SMOTE,0.02,LightGBM,0.88,0.58,0.602,0.074,0.591,0.764,0.73,0.286
SMOTE,0.02,Adaboost,0.84,0.461,0.646,0.128,0.538,0.759,0.743,0.266
SMOTE,0.02,GBDT,0.863,0.522,0.597,0.092,0.557,0.752,0.72,0.293
ADASYN,0.03,SVM,0.65,0.26,0.773,0.371,0.389,0.701,0.694,0.307
ADASYN,0.03,KNN,0.776,0.358,0.696,0.21,0.473,0.743,0.74,0.261
ADASYN,0.03,LR,0.685,0.249,0.586,0.298,0.349,0.644,0.639,0.361
ADASYN,0.03,DT,0.808,0.394,0.613,0.159,0.479,0.727,0.709,0.296
ADASYN,0.03,RF,0.862,0.519,0.608,0.095,0.56,0.756,0.727,0.285
ADASYN,0.03,LightGBM,0.863,0.521,0.63,0.098,0.57,0.766,0.742,0.271
ADASYN,0.03,Adaboost,0.773,0.351,0.68,0.211,0.463,0.734,0.73,0.271
ADASYN,0.03,GBDT,0.86,0.512,0.608,0.098,0.556,0.755,0.726,0.286
BorderlineSMOTE,0.03,SVM,0.699,0.284,0.718,0.304,0.408,0.707,0.707,0.293
BorderlineSMOTE,0.03,KNN,0.794,0.382,0.685,0.187,0.49,0.749,0.744,0.259
BorderlineSMOTE,0.03,LR,0.745,0.274,0.464,0.208,0.344,0.628,0.585,0.406
BorderlineSMOTE,0.03,DT,0.813,0.393,0.547,0.142,0.457,0.702,0.668,0.336
BorderlineSMOTE,0.03,RF,0.867,0.535,0.591,0.087,0.562,0.752,0.718,0.296
BorderlineSMOTE,0.03,LightGBM,0.87,0.541,0.652,0.093,0.591,0.779,0.759,0.255
BorderlineSMOTE,0.03,Adaboost,0.805,0.393,0.652,0.169,0.491,0.741,0.73,0.274
BorderlineSMOTE,0.03,GBDT,0.859,0.509,0.613,0.1,0.556,0.757,0.73,0.282
SVMSMOTE,0.5,SVM,0.837,0.457,0.674,0.135,0.545,0.77,0.758,0.249
SVMSMOTE,0.5,KNN,0.821,0.423,0.669,0.154,0.518,0.757,0.747,0.258
SVMSMOTE,0.5,LR,0.775,0.341,0.597,0.195,0.434,0.701,0.686,0.317
SVMSMOTE,0.5,DT,0.831,0.439,0.619,0.133,0.514,0.743,0.722,0.286
SVMSMOTE,0.5,RF,0.875,0.565,0.58,0.075,0.572,0.752,0.713,0.302
SVMSMOTE,0.5,LightGBM,0.888,0.608,0.624,0.068,0.616,0.778,0.748,0.27
SVMSMOTE,0.5,Adaboost,0.841,0.461,0.624,0.123,0.531,0.751,0.729,0.28
SVMSMOTE,0.5,GBDT,0.87,0.545,0.608,0.086,0.574,0.761,0.73,0.284
SMOTUNED,195.34,SVM,0.855,0.498,0.613,0.104,0.55,0.754,0.728,0.283
