oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
WFOv2,1.52,SVM,0.849,0.48,0.586,0.107,0.527,0.739,0.707,0.303
WFOv2,1.52,KNN,0.849,0.478,0.486,0.089,0.482,0.698,0.634,0.369
WFOv2,1.52,LR,0.793,0.367,0.602,0.175,0.456,0.714,0.696,0.307
WFOv2,1.52,DT,0.861,0.516,0.53,0.084,0.523,0.723,0.672,0.337
WFOv2,1.52,RF,0.897,0.732,0.453,0.028,0.56,0.713,0.618,0.387
WFOv2,1.52,LightGBM,0.882,0.591,0.591,0.069,0.591,0.761,0.723,0.293
WFOv2,1.52,Adaboost,0.794,0.375,0.646,0.182,0.475,0.732,0.722,0.281
WFOv2,1.52,GBDT,0.849,0.482,0.586,0.106,0.529,0.74,0.708,0.302
