oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
WFO2,0.26,SVM,0.86,0.511,0.624,0.101,0.562,0.762,0.737,0.275
WFO2,0.26,KNN,0.825,0.427,0.619,0.14,0.506,0.74,0.72,0.287
WFO2,0.26,LR,0.782,0.352,0.602,0.187,0.444,0.708,0.692,0.311
WFO2,0.26,DT,0.837,0.445,0.541,0.114,0.489,0.714,0.672,0.334
WFO2,0.26,RF,0.885,0.621,0.525,0.054,0.569,0.735,0.675,0.338
WFO2,0.26,LightGBM,0.889,0.633,0.552,0.054,0.59,0.749,0.698,0.319
WFO2,0.26,Adaboost,0.857,0.505,0.591,0.098,0.545,0.747,0.714,0.297
WFO2,0.26,GBDT,0.869,0.546,0.552,0.077,0.549,0.738,0.691,0.321
