oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
WFOv2,1.26,SVM,0.868,0.533,0.669,0.099,0.593,0.785,0.768,0.245
WFOv2,1.26,KNN,0.87,0.551,0.541,0.074,0.546,0.733,0.683,0.329
WFOv2,1.26,LR,0.776,0.344,0.608,0.196,0.439,0.706,0.692,0.31
WFOv2,1.26,DT,0.87,0.546,0.591,0.083,0.568,0.754,0.719,0.295
WFOv2,1.26,RF,0.908,0.75,0.547,0.031,0.633,0.758,0.699,0.321
WFOv2,1.26,LightGBM,0.883,0.586,0.641,0.076,0.612,0.782,0.757,0.26
WFOv2,1.26,Adaboost,0.796,0.383,0.68,0.184,0.49,0.748,0.741,0.261
WFOv2,1.26,GBDT,0.853,0.491,0.608,0.106,0.543,0.751,0.724,0.287
