oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
WFO,0.12,SVM,0.425,0.194,0.945,0.662,0.322,0.641,0.498,0.47
WFO,0.12,KNN,0.84,0.464,0.713,0.139,0.562,0.787,0.78,0.226
WFO,0.12,LR,0.255,0.159,0.967,0.865,0.272,0.551,0.237,0.612
WFO,0.12,DT,0.863,0.522,0.591,0.091,0.554,0.75,0.716,0.296
WFO,0.12,RF,0.906,0.723,0.564,0.036,0.634,0.764,0.711,0.31
WFO,0.12,LightGBM,0.834,0.449,0.657,0.136,0.534,0.761,0.747,0.261
WFO,0.12,Adaboost,0.657,0.277,0.856,0.377,0.418,0.74,0.721,0.285
WFO,0.12,GBDT,0.828,0.439,0.696,0.15,0.538,0.773,0.765,0.24
