oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.908,0.971,0.376,0.002,0.542,0.687,0.546,0.441
No,0,KNN,0.902,0.75,0.481,0.027,0.586,0.727,0.643,0.368
No,0,LR,0.876,0.766,0.199,0.01,0.316,0.594,0.331,0.567
No,0,DT,0.858,0.508,0.525,0.086,0.516,0.72,0.667,0.341
No,0,RF,0.904,0.77,0.481,0.024,0.592,0.728,0.644,0.368
No,0,LightGBM,0.917,0.853,0.514,0.015,0.641,0.749,0.675,0.344
No,0,Adaboost,0.908,0.859,0.436,0.012,0.579,0.712,0.605,0.399
No,0,GBDT,0.896,0.673,0.547,0.045,0.604,0.751,0.696,0.322
Random,0.01,SVM,0.862,0.521,0.558,0.087,0.539,0.736,0.693,0.318
Random,0.01,KNN,0.848,0.48,0.68,0.124,0.563,0.778,0.765,0.243
Random,0.01,LR,0.782,0.349,0.591,0.186,0.439,0.702,0.685,0.318
Random,0.01,DT,0.862,0.522,0.519,0.08,0.521,0.72,0.664,0.345
Random,0.01,RF,0.908,0.784,0.503,0.023,0.613,0.74,0.664,0.352
Random,0.01,LightGBM,0.895,0.65,0.586,0.053,0.616,0.766,0.724,0.295
Random,0.01,Adaboost,0.829,0.434,0.619,0.136,0.51,0.741,0.721,0.286
Random,0.01,GBDT,0.865,0.53,0.586,0.088,0.556,0.749,0.713,0.299
SMOTE,0.02,SVM,0.853,0.491,0.586,0.102,0.534,0.742,0.709,0.302
SMOTE,0.02,KNN,0.836,0.454,0.674,0.137,0.542,0.769,0.757,0.25
SMOTE,0.02,LR,0.758,0.322,0.613,0.218,0.422,0.698,0.687,0.314
SMOTE,0.02,DT,0.82,0.404,0.525,0.13,0.457,0.697,0.655,0.348
SMOTE,0.02,RF,0.888,0.624,0.569,0.058,0.595,0.756,0.71,0.307
SMOTE,0.02,LightGBM,0.89,0.634,0.564,0.055,0.596,0.754,0.706,0.311
SMOTE,0.02,Adaboost,0.848,0.477,0.569,0.105,0.519,0.732,0.696,0.314
SMOTE,0.02,GBDT,0.869,0.546,0.525,0.074,0.535,0.726,0.67,0.34
ADASYN,0.03,SVM,0.674,0.267,0.724,0.334,0.39,0.695,0.694,0.307
ADASYN,0.03,KNN,0.798,0.388,0.696,0.185,0.498,0.755,0.751,0.252
ADASYN,0.03,LR,0.679,0.251,0.619,0.311,0.357,0.654,0.652,0.348
ADASYN,0.03,DT,0.818,0.405,0.564,0.14,0.471,0.712,0.681,0.324
ADASYN,0.03,RF,0.876,0.568,0.575,0.074,0.571,0.751,0.709,0.305
ADASYN,0.03,LightGBM,0.879,0.578,0.597,0.074,0.587,0.762,0.726,0.29
ADASYN,0.03,Adaboost,0.803,0.392,0.663,0.173,0.493,0.745,0.736,0.268
ADASYN,0.03,GBDT,0.867,0.537,0.564,0.082,0.55,0.741,0.698,0.314
BorderlineSMOTE,0.03,SVM,0.755,0.322,0.63,0.223,0.426,0.703,0.696,0.306
BorderlineSMOTE,0.03,KNN,0.815,0.411,0.652,0.157,0.504,0.747,0.735,0.27
BorderlineSMOTE,0.03,LR,0.72,0.256,0.492,0.241,0.336,0.625,0.597,0.398
BorderlineSMOTE,0.03,DT,0.838,0.452,0.575,0.117,0.506,0.729,0.696,0.312
BorderlineSMOTE,0.03,RF,0.872,0.556,0.552,0.074,0.554,0.739,0.692,0.321
BorderlineSMOTE,0.03,LightGBM,0.875,0.567,0.558,0.072,0.563,0.743,0.697,0.317
BorderlineSMOTE,0.03,Adaboost,0.808,0.397,0.641,0.164,0.49,0.739,0.726,0.279
BorderlineSMOTE,0.03,GBDT,0.848,0.474,0.497,0.093,0.485,0.702,0.642,0.362
SVMSMOTE,0.49,SVM,0.849,0.482,0.608,0.11,0.538,0.749,0.722,0.288
SVMSMOTE,0.49,KNN,0.831,0.443,0.663,0.141,0.531,0.761,0.749,0.258
SVMSMOTE,0.49,LR,0.766,0.333,0.624,0.21,0.435,0.707,0.697,0.304
SVMSMOTE,0.49,DT,0.831,0.433,0.552,0.122,0.485,0.715,0.678,0.328
SVMSMOTE,0.49,RF,0.888,0.625,0.552,0.056,0.587,0.748,0.697,0.319
SVMSMOTE,0.49,LightGBM,0.888,0.623,0.558,0.057,0.589,0.751,0.701,0.315
SVMSMOTE,0.49,Adaboost,0.853,0.493,0.597,0.103,0.54,0.747,0.717,0.294
SVMSMOTE,0.49,GBDT,0.861,0.519,0.53,0.083,0.525,0.724,0.672,0.337
SMOTUNED,193.52,SVM,0.857,0.503,0.547,0.091,0.524,0.728,0.683,0.327
SMOTUNED,86.92,KNN,0.774,0.357,0.713,0.216,0.476,0.748,0.747,0.254
SMOTUNED,1384.98,LR,0.799,0.377,0.602,0.168,0.464,0.717,0.699,0.305
SMOTUNED,80.2,DT,0.76,0.331,0.646,0.221,0.437,0.713,0.707,0.295
SMOTUNED,261.95,RF,0.846,0.476,0.646,0.12,0.548,0.763,0.745,0.264
SMOTUNED,156.12,LightGBM,0.835,0.454,0.707,0.143,0.553,0.782,0.775,0.231
SMOTUNED,307.66,Adaboost,0.814,0.413,0.685,0.164,0.516,0.761,0.753,0.251
SMOTUNED,464.47,GBDT,0.779,0.353,0.635,0.196,0.454,0.719,0.71,0.293
DAZZLE,1761.374050617218,SVM,0.883,0.663,0.381,0.033,0.484,0.674,0.547,0.438
DAZZLE,1761.374050617218,KNN,0.899,0.725,0.481,0.031,0.578,0.725,0.643,0.368
DAZZLE,1761.374050617218,LR,0.802,0.344,0.414,0.133,0.376,0.641,0.561,0.425
DAZZLE,1761.374050617218,DT,0.87,0.552,0.525,0.072,0.538,0.727,0.671,0.34
DAZZLE,1761.374050617218,RF,0.904,0.775,0.475,0.023,0.589,0.726,0.639,0.371
DAZZLE,1761.374050617218,LightGBM,0.915,0.856,0.492,0.014,0.625,0.739,0.656,0.36
DAZZLE,1761.374050617218,Adaboost,0.909,0.838,0.459,0.015,0.593,0.722,0.626,0.383
DAZZLE,1761.374050617218,GBDT,0.894,0.676,0.508,0.041,0.58,0.734,0.664,0.349
WGAN,36.13,SVM,0.856,0.0,0.0,0.0,0.0,0.5,0.0,0.707
WGAN,36.13,KNN,0.863,0.696,0.088,0.007,0.157,0.541,0.162,0.645
WGAN,36.13,LR,0.821,0.331,0.238,0.081,0.277,0.578,0.378,0.542
WGAN,36.13,DT,0.671,0.229,0.541,0.307,0.322,0.617,0.608,0.39
WGAN,36.13,RF,0.594,0.178,0.503,0.391,0.263,0.556,0.551,0.447
WGAN,36.13,LightGBM,0.873,0.844,0.149,0.005,0.254,0.572,0.259,0.602
WGAN,36.13,Adaboost,0.869,1.0,0.088,0.0,0.162,0.544,0.162,0.645
WGAN,36.13,GBDT,0.298,0.164,0.945,0.811,0.28,0.567,0.315,0.575
RP,2.9813895225524902,SVM,0.902,0.759,0.47,0.025,0.58,0.722,0.634,0.375
RP,2.9813895225524902,KNN,0.866,0.532,0.591,0.088,0.56,0.752,0.717,0.296
RP,2.9813895225524902,LR,0.844,0.463,0.525,0.102,0.492,0.711,0.662,0.344
RP,2.9813895225524902,DT,0.85,0.483,0.552,0.1,0.515,0.726,0.685,0.324
RP,2.9813895225524902,RF,0.902,0.742,0.492,0.029,0.591,0.731,0.653,0.36
RP,2.9813895225524902,LightGBM,0.913,0.84,0.492,0.016,0.62,0.738,0.656,0.36
RP,2.9813895225524902,Adaboost,0.907,0.791,0.481,0.021,0.598,0.73,0.645,0.368
RP,2.9813895225524902,GBDT,0.892,0.664,0.514,0.044,0.579,0.735,0.668,0.345
Howso,127.80210590362549,SVM,0.842,0.463,0.586,0.115,0.517,0.736,0.705,0.304
Howso,127.80210590362549,KNN,0.788,0.375,0.702,0.197,0.488,0.752,0.749,0.253
Howso,127.80210590362549,LR,0.782,0.346,0.575,0.183,0.432,0.696,0.675,0.328
Howso,127.80210590362549,DT,0.757,0.333,0.685,0.231,0.448,0.727,0.725,0.276
Howso,127.80210590362549,RF,0.85,0.486,0.663,0.118,0.561,0.772,0.757,0.253
Howso,127.80210590362549,LightGBM,0.845,0.472,0.663,0.125,0.552,0.769,0.754,0.254
Howso,127.80210590362549,Adaboost,0.782,0.36,0.657,0.197,0.465,0.73,0.723,0.28
Howso,127.80210590362549,GBDT,0.846,0.476,0.663,0.123,0.554,0.77,0.755,0.254
DS,0.3075549602508545,SVM,0.882,0.971,0.188,0.001,0.315,0.593,0.316,0.574
DS,0.3075549602508545,KNN,0.894,0.703,0.459,0.033,0.555,0.713,0.622,0.384
DS,0.3075549602508545,LR,0.869,0.698,0.166,0.012,0.268,0.577,0.284,0.59
DS,0.3075549602508545,DT,0.865,0.529,0.547,0.082,0.538,0.733,0.686,0.326
DS,0.3075549602508545,RF,0.906,0.789,0.475,0.021,0.593,0.727,0.64,0.371
DS,0.3075549602508545,LightGBM,0.912,0.845,0.481,0.015,0.613,0.733,0.646,0.367
DS,0.3075549602508545,Adaboost,0.909,0.868,0.436,0.011,0.581,0.713,0.606,0.399
DS,0.3075549602508545,GBDT,0.884,0.623,0.503,0.051,0.557,0.726,0.657,0.353
SDV_GC,4.0898277759552,SVM,0.905,0.919,0.376,0.006,0.533,0.685,0.545,0.441
SDV_GC,4.0898277759552,KNN,0.907,0.758,0.519,0.028,0.616,0.746,0.677,0.34
SDV_GC,4.0898277759552,LR,0.864,0.578,0.204,0.025,0.302,0.59,0.338,0.563
SDV_GC,4.0898277759552,DT,0.844,0.461,0.492,0.097,0.476,0.697,0.637,0.366
SDV_GC,4.0898277759552,RF,0.904,0.77,0.481,0.024,0.592,0.728,0.644,0.368
SDV_GC,4.0898277759552,LightGBM,0.912,0.826,0.497,0.018,0.621,0.74,0.66,0.356
SDV_GC,4.0898277759552,Adaboost,0.908,0.828,0.453,0.016,0.586,0.719,0.62,0.387
SDV_GC,4.0898277759552,GBDT,0.896,0.676,0.53,0.043,0.594,0.744,0.683,0.333
SDV_GAN,21.490012407302856,SVM,0.912,0.898,0.436,0.008,0.587,0.714,0.606,0.399
SDV_GAN,21.490012407302856,KNN,0.903,0.752,0.486,0.027,0.591,0.73,0.648,0.364
SDV_GAN,21.490012407302856,LR,0.837,0.405,0.271,0.067,0.325,0.602,0.42,0.518
SDV_GAN,21.490012407302856,DT,0.849,0.478,0.481,0.088,0.479,0.696,0.629,0.373
SDV_GAN,21.490012407302856,RF,0.904,0.763,0.481,0.025,0.59,0.728,0.644,0.368
