oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.902,0.926,0.348,0.005,0.506,0.672,0.516,0.461
No,0,KNN,0.897,0.7,0.503,0.036,0.585,0.733,0.661,0.353
No,0,LR,0.867,0.706,0.133,0.009,0.223,0.562,0.234,0.613
No,0,DT,0.868,0.541,0.541,0.077,0.541,0.732,0.682,0.329
No,0,RF,0.907,0.786,0.486,0.022,0.601,0.732,0.649,0.364
No,0,LightGBM,0.915,0.825,0.519,0.019,0.637,0.75,0.679,0.34
No,0,Adaboost,0.905,0.767,0.492,0.025,0.599,0.733,0.654,0.36
No,0,GBDT,0.905,0.738,0.53,0.032,0.617,0.749,0.685,0.333
Random,0.01,SVM,0.873,0.557,0.569,0.076,0.563,0.746,0.704,0.309
Random,0.01,KNN,0.826,0.43,0.63,0.141,0.511,0.745,0.727,0.28
Random,0.01,LR,0.79,0.361,0.586,0.175,0.446,0.705,0.685,0.318
Random,0.01,DT,0.845,0.465,0.519,0.101,0.491,0.709,0.658,0.347
Random,0.01,RF,0.898,0.688,0.536,0.041,0.602,0.747,0.688,0.329
Random,0.01,LightGBM,0.88,0.585,0.591,0.071,0.588,0.76,0.723,0.293
Random,0.01,Adaboost,0.833,0.442,0.613,0.13,0.514,0.741,0.719,0.289
Random,0.01,GBDT,0.849,0.481,0.575,0.104,0.524,0.735,0.7,0.31
SMOTE,0.02,SVM,0.849,0.479,0.569,0.104,0.52,0.732,0.696,0.314
SMOTE,0.02,KNN,0.811,0.407,0.68,0.167,0.509,0.756,0.749,0.255
SMOTE,0.02,LR,0.769,0.33,0.586,0.2,0.422,0.693,0.676,0.325
SMOTE,0.02,DT,0.822,0.413,0.564,0.135,0.477,0.714,0.682,0.323
SMOTE,0.02,RF,0.884,0.601,0.575,0.064,0.588,0.755,0.712,0.304
SMOTE,0.02,LightGBM,0.886,0.608,0.591,0.064,0.599,0.763,0.725,0.293
SMOTE,0.02,Adaboost,0.855,0.498,0.586,0.1,0.538,0.743,0.71,0.301
SMOTE,0.02,GBDT,0.869,0.542,0.575,0.082,0.558,0.746,0.707,0.306
ADASYN,0.03,SVM,0.695,0.279,0.702,0.306,0.399,0.698,0.698,0.302
ADASYN,0.03,KNN,0.782,0.365,0.685,0.201,0.476,0.742,0.738,0.264
ADASYN,0.03,LR,0.67,0.235,0.569,0.313,0.332,0.628,0.623,0.377
ADASYN,0.03,DT,0.834,0.447,0.635,0.132,0.525,0.752,0.734,0.274
ADASYN,0.03,RF,0.865,0.531,0.569,0.085,0.549,0.742,0.702,0.311
ADASYN,0.03,LightGBM,0.87,0.544,0.619,0.088,0.579,0.766,0.737,0.277
ADASYN,0.03,Adaboost,0.81,0.404,0.674,0.168,0.505,0.753,0.745,0.259
ADASYN,0.03,GBDT,0.868,0.537,0.602,0.088,0.568,0.757,0.726,0.288
BorderlineSMOTE,0.03,SVM,0.724,0.298,0.674,0.268,0.413,0.703,0.702,0.298
BorderlineSMOTE,0.03,KNN,0.793,0.375,0.652,0.183,0.476,0.734,0.725,0.278
BorderlineSMOTE,0.03,LR,0.686,0.219,0.459,0.276,0.296,0.591,0.562,0.43
BorderlineSMOTE,0.03,DT,0.823,0.41,0.514,0.125,0.456,0.695,0.648,0.355
BorderlineSMOTE,0.03,RF,0.877,0.575,0.575,0.072,0.575,0.751,0.71,0.305
BorderlineSMOTE,0.03,LightGBM,0.871,0.547,0.613,0.086,0.578,0.764,0.734,0.28
BorderlineSMOTE,0.03,Adaboost,0.8,0.386,0.652,0.175,0.485,0.738,0.728,0.275
BorderlineSMOTE,0.03,GBDT,0.849,0.479,0.575,0.105,0.523,0.735,0.7,0.31
SVMSMOTE,0.52,SVM,0.848,0.478,0.597,0.11,0.531,0.743,0.714,0.296
SVMSMOTE,0.52,KNN,0.815,0.411,0.646,0.156,0.502,0.745,0.732,0.273
SVMSMOTE,0.52,LR,0.778,0.349,0.624,0.196,0.448,0.714,0.703,0.3
SVMSMOTE,0.52,DT,0.853,0.491,0.602,0.105,0.541,0.748,0.72,0.291
SVMSMOTE,0.52,RF,0.885,0.613,0.552,0.059,0.581,0.747,0.696,0.319
SVMSMOTE,0.52,LightGBM,0.881,0.588,0.591,0.07,0.59,0.761,0.723,0.293
SVMSMOTE,0.52,Adaboost,0.858,0.507,0.613,0.101,0.555,0.756,0.729,0.283
SVMSMOTE,0.52,GBDT,0.865,0.527,0.591,0.089,0.557,0.751,0.717,0.296
SMOTUNED,190.02,SVM,0.867,0.538,0.547,0.079,0.542,0.734,0.686,0.325
SMOTUNED,88.54,KNN,0.8,0.386,0.657,0.176,0.487,0.741,0.731,0.272
SMOTUNED,1472.03,LR,0.781,0.346,0.586,0.186,0.435,0.7,0.681,0.321
SMOTUNED,75.83,DT,0.75,0.317,0.635,0.231,0.423,0.702,0.696,0.305
SMOTUNED,260.87,RF,0.835,0.45,0.652,0.134,0.533,0.759,0.744,0.264
SMOTUNED,157.42,LightGBM,0.814,0.41,0.669,0.162,0.508,0.753,0.744,0.261
SMOTUNED,309.66,Adaboost,0.829,0.44,0.669,0.143,0.531,0.763,0.751,0.255
SMOTUNED,471.3,GBDT,0.764,0.334,0.641,0.215,0.439,0.713,0.706,0.296
DAZZLE,1512.6811039447784,SVM,0.885,0.894,0.232,0.005,0.368,0.614,0.376,0.543
DAZZLE,1512.6811039447784,KNN,0.895,0.696,0.481,0.035,0.569,0.723,0.642,0.368
DAZZLE,1512.6811039447784,LR,0.857,0.571,0.022,0.003,0.043,0.51,0.043,0.691
DAZZLE,1512.6811039447784,DT,0.861,0.521,0.486,0.075,0.503,0.705,0.637,0.367
DAZZLE,1512.6811039447784,RF,0.908,0.789,0.497,0.022,0.61,0.737,0.659,0.356
DAZZLE,1512.6811039447784,LightGBM,0.912,0.809,0.514,0.02,0.628,0.747,0.674,0.344
DAZZLE,1512.6811039447784,Adaboost,0.904,0.79,0.459,0.02,0.58,0.719,0.625,0.383
DAZZLE,1512.6811039447784,GBDT,0.897,0.683,0.536,0.042,0.601,0.747,0.687,0.329
WGAN,37.75,SVM,0.853,0.0,0.0,0.003,0.0,0.499,0.0,0.707
WGAN,37.75,KNN,0.865,0.762,0.088,0.005,0.158,0.542,0.162,0.645
WGAN,37.75,LR,0.88,0.969,0.171,0.001,0.291,0.585,0.292,0.586
WGAN,37.75,DT,0.822,0.061,0.017,0.043,0.026,0.487,0.033,0.696
WGAN,37.75,RF,0.573,0.162,0.47,0.41,0.241,0.53,0.523,0.474
WGAN,37.75,LightGBM,0.844,0.377,0.127,0.035,0.19,0.546,0.225,0.618
WGAN,37.75,Adaboost,0.881,0.833,0.221,0.007,0.349,0.607,0.361,0.551
WGAN,37.75,GBDT,0.143,0.144,0.994,1.0,0.251,0.497,0.0,0.707
RP,3.02474045753479,SVM,0.904,0.78,0.47,0.022,0.586,0.724,0.634,0.375
RP,3.02474045753479,KNN,0.864,0.523,0.619,0.095,0.567,0.762,0.735,0.278
RP,3.02474045753479,LR,0.865,0.534,0.475,0.07,0.503,0.703,0.629,0.374
RP,3.02474045753479,DT,0.853,0.49,0.547,0.096,0.517,0.726,0.682,0.327
RP,3.02474045753479,RF,0.903,0.719,0.536,0.035,0.614,0.75,0.689,0.329
RP,3.02474045753479,LightGBM,0.912,0.803,0.519,0.021,0.631,0.749,0.679,0.34
RP,3.02474045753479,Adaboost,0.902,0.734,0.503,0.031,0.597,0.736,0.662,0.352
RP,3.02474045753479,GBDT,0.9,0.697,0.547,0.04,0.613,0.753,0.697,0.322
Howso,111.20876622200012,SVM,0.869,0.543,0.564,0.08,0.553,0.742,0.699,0.314
Howso,111.20876622200012,KNN,0.795,0.376,0.635,0.178,0.472,0.729,0.717,0.287
Howso,111.20876622200012,LR,0.778,0.33,0.525,0.18,0.405,0.673,0.64,0.359
Howso,111.20876622200012,DT,0.769,0.336,0.619,0.206,0.436,0.707,0.696,0.306
Howso,111.20876622200012,RF,0.839,0.459,0.646,0.128,0.537,0.759,0.742,0.266
Howso,111.20876622200012,LightGBM,0.834,0.446,0.613,0.128,0.516,0.742,0.72,0.288
Howso,111.20876622200012,Adaboost,0.8,0.389,0.68,0.18,0.495,0.75,0.743,0.26
Howso,111.20876622200012,GBDT,0.822,0.421,0.619,0.143,0.501,0.738,0.719,0.288
DS,0.3058650493621826,SVM,0.886,0.88,0.243,0.006,0.381,0.619,0.391,0.535
DS,0.3058650493621826,KNN,0.893,0.697,0.459,0.034,0.553,0.713,0.622,0.384
DS,0.3058650493621826,LR,0.865,0.658,0.138,0.012,0.228,0.563,0.242,0.61
DS,0.3058650493621826,DT,0.847,0.471,0.497,0.094,0.484,0.702,0.642,0.362
DS,0.3058650493621826,RF,0.908,0.788,0.492,0.022,0.605,0.735,0.654,0.36
DS,0.3058650493621826,LightGBM,0.911,0.78,0.53,0.025,0.632,0.753,0.687,0.333
DS,0.3058650493621826,Adaboost,0.907,0.802,0.47,0.02,0.592,0.725,0.635,0.375
DS,0.3058650493621826,GBDT,0.86,0.514,0.514,0.082,0.514,0.716,0.659,0.349
SDV_GC,4.043031930923462,SVM,0.904,0.896,0.381,0.007,0.535,0.687,0.551,0.438
SDV_GC,4.043031930923462,KNN,0.903,0.725,0.525,0.034,0.609,0.746,0.68,0.337
SDV_GC,4.043031930923462,LR,0.872,0.727,0.177,0.011,0.284,0.583,0.3,0.582
SDV_GC,4.043031930923462,DT,0.861,0.516,0.547,0.087,0.531,0.73,0.684,0.326
SDV_GC,4.043031930923462,RF,0.908,0.783,0.497,0.023,0.608,0.737,0.659,0.356
SDV_GC,4.043031930923462,LightGBM,0.912,0.798,0.525,0.022,0.633,0.751,0.683,0.336
SDV_GC,4.043031930923462,Adaboost,0.908,0.773,0.508,0.025,0.613,0.742,0.668,0.348
SDV_GC,4.043031930923462,GBDT,0.881,0.596,0.547,0.062,0.571,0.742,0.691,0.323
SDV_GAN,21.85263419151306,SVM,0.902,0.822,0.409,0.015,0.546,0.697,0.578,0.418
SDV_GAN,21.85263419151306,KNN,0.901,0.724,0.508,0.033,0.597,0.738,0.666,0.348
