oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.905,0.97,0.354,0.002,0.518,0.676,0.522,0.457
No,0,KNN,0.892,0.698,0.448,0.033,0.545,0.707,0.612,0.391
No,0,LR,0.869,0.682,0.166,0.013,0.267,0.576,0.284,0.59
No,0,DT,0.848,0.473,0.481,0.09,0.477,0.695,0.629,0.373
No,0,RF,0.897,0.765,0.414,0.021,0.538,0.696,0.582,0.414
No,0,LightGBM,0.911,0.842,0.47,0.015,0.603,0.727,0.636,0.375
No,0,Adaboost,0.914,0.892,0.459,0.009,0.606,0.725,0.627,0.383
No,0,GBDT,0.885,0.641,0.464,0.044,0.538,0.71,0.625,0.38
Random,0.01,SVM,0.876,0.566,0.591,0.076,0.578,0.757,0.721,0.294
Random,0.01,KNN,0.82,0.415,0.608,0.144,0.493,0.732,0.711,0.296
Random,0.01,LR,0.766,0.328,0.597,0.206,0.424,0.695,0.681,0.32
Random,0.01,DT,0.837,0.441,0.492,0.105,0.465,0.693,0.635,0.367
Random,0.01,RF,0.896,0.716,0.459,0.031,0.559,0.714,0.623,0.383
Random,0.01,LightGBM,0.878,0.584,0.536,0.064,0.559,0.736,0.682,0.331
Random,0.01,Adaboost,0.829,0.438,0.663,0.143,0.527,0.76,0.747,0.259
Random,0.01,GBDT,0.855,0.498,0.552,0.094,0.524,0.729,0.686,0.323
SMOTE,0.02,SVM,0.834,0.442,0.564,0.12,0.495,0.722,0.687,0.32
SMOTE,0.02,KNN,0.794,0.372,0.619,0.176,0.465,0.721,0.707,0.297
SMOTE,0.02,LR,0.758,0.321,0.608,0.217,0.42,0.695,0.684,0.317
SMOTE,0.02,DT,0.825,0.421,0.564,0.13,0.482,0.717,0.684,0.322
SMOTE,0.02,RF,0.872,0.56,0.519,0.069,0.539,0.725,0.667,0.343
SMOTE,0.02,LightGBM,0.881,0.594,0.558,0.064,0.575,0.747,0.699,0.316
SMOTE,0.02,Adaboost,0.843,0.466,0.597,0.115,0.523,0.741,0.713,0.297
SMOTE,0.02,GBDT,0.861,0.515,0.552,0.088,0.533,0.732,0.688,0.322
ADASYN,0.03,SVM,0.679,0.271,0.724,0.329,0.394,0.698,0.697,0.304
ADASYN,0.03,KNN,0.779,0.358,0.669,0.202,0.466,0.733,0.728,0.275
ADASYN,0.03,LR,0.642,0.21,0.536,0.34,0.302,0.598,0.592,0.407
ADASYN,0.03,DT,0.801,0.365,0.514,0.151,0.427,0.681,0.64,0.36
ADASYN,0.03,RF,0.864,0.525,0.575,0.088,0.549,0.744,0.705,0.307
ADASYN,0.03,LightGBM,0.873,0.556,0.608,0.082,0.58,0.763,0.731,0.283
ADASYN,0.03,Adaboost,0.789,0.37,0.657,0.189,0.473,0.734,0.726,0.277
ADASYN,0.03,GBDT,0.852,0.488,0.569,0.101,0.526,0.734,0.697,0.313
BorderlineSMOTE,0.03,SVM,0.712,0.292,0.702,0.287,0.412,0.707,0.707,0.293
BorderlineSMOTE,0.03,KNN,0.793,0.371,0.63,0.18,0.467,0.725,0.713,0.291
BorderlineSMOTE,0.03,LR,0.684,0.227,0.497,0.285,0.312,0.606,0.587,0.409
BorderlineSMOTE,0.03,DT,0.816,0.402,0.564,0.142,0.469,0.711,0.68,0.324
BorderlineSMOTE,0.03,RF,0.869,0.546,0.558,0.078,0.552,0.74,0.695,0.317
BorderlineSMOTE,0.03,LightGBM,0.868,0.537,0.602,0.088,0.568,0.757,0.726,0.288
BorderlineSMOTE,0.03,Adaboost,0.778,0.354,0.652,0.2,0.459,0.726,0.718,0.284
