oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.9,0.899,0.343,0.007,0.496,0.668,0.509,0.465
No,0,KNN,0.89,0.687,0.436,0.034,0.534,0.701,0.601,0.399
No,0,LR,0.872,0.75,0.166,0.009,0.271,0.578,0.284,0.59
No,0,DT,0.84,0.449,0.486,0.101,0.467,0.693,0.631,0.37
No,0,RF,0.898,0.748,0.442,0.025,0.556,0.708,0.608,0.395
No,0,LightGBM,0.907,0.781,0.492,0.023,0.603,0.734,0.654,0.36
No,0,Adaboost,0.904,0.796,0.453,0.02,0.577,0.717,0.62,0.387
No,0,GBDT,0.88,0.607,0.486,0.053,0.54,0.717,0.642,0.365
Random,0.01,SVM,0.876,0.573,0.541,0.068,0.557,0.737,0.685,0.328
Random,0.01,KNN,0.822,0.415,0.569,0.135,0.48,0.717,0.686,0.319
Random,0.01,LR,0.798,0.362,0.519,0.155,0.426,0.682,0.643,0.357
Random,0.01,DT,0.849,0.478,0.481,0.088,0.479,0.696,0.629,0.373
Random,0.01,RF,0.892,0.674,0.481,0.039,0.561,0.721,0.641,0.368
Random,0.01,LightGBM,0.88,0.582,0.586,0.071,0.584,0.757,0.718,0.297
Random,0.01,Adaboost,0.827,0.429,0.602,0.135,0.501,0.734,0.71,0.297
Random,0.01,GBDT,0.853,0.491,0.586,0.102,0.534,0.742,0.709,0.302
SMOTE,0.02,SVM,0.86,0.512,0.569,0.091,0.539,0.739,0.7,0.311
SMOTE,0.02,KNN,0.808,0.39,0.586,0.155,0.468,0.716,0.692,0.313
SMOTE,0.02,LR,0.775,0.332,0.552,0.187,0.415,0.683,0.658,0.343
SMOTE,0.02,DT,0.831,0.432,0.541,0.12,0.48,0.711,0.67,0.335
SMOTE,0.02,RF,0.88,0.595,0.536,0.061,0.564,0.737,0.682,0.331
SMOTE,0.02,LightGBM,0.88,0.591,0.558,0.065,0.574,0.746,0.699,0.316
SMOTE,0.02,Adaboost,0.86,0.512,0.602,0.097,0.553,0.753,0.723,0.289
SMOTE,0.02,GBDT,0.869,0.544,0.586,0.083,0.564,0.751,0.715,0.299
ADASYN,0.03,SVM,0.679,0.266,0.696,0.324,0.385,0.686,0.686,0.314
ADASYN,0.03,KNN,0.792,0.373,0.646,0.183,0.473,0.731,0.722,0.282
ADASYN,0.03,LR,0.685,0.226,0.486,0.281,0.308,0.602,0.58,0.414
ADASYN,0.03,DT,0.823,0.414,0.547,0.13,0.471,0.708,0.672,0.333
ADASYN,0.03,RF,0.87,0.548,0.569,0.079,0.558,0.745,0.703,0.31
ADASYN,0.03,LightGBM,0.872,0.552,0.586,0.08,0.568,0.753,0.716,0.298
ADASYN,0.03,Adaboost,0.801,0.383,0.624,0.169,0.475,0.727,0.713,0.291
ADASYN,0.03,GBDT,0.87,0.549,0.558,0.077,0.553,0.74,0.695,0.317
BorderlineSMOTE,0.03,SVM,0.687,0.265,0.663,0.309,0.379,0.677,0.677,0.323
BorderlineSMOTE,0.03,KNN,0.781,0.343,0.569,0.183,0.428,0.693,0.671,0.331
