oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
WFOv2,1.29,SVM,0.865,0.524,0.652,0.1,0.581,0.776,0.756,0.256
WFOv2,1.29,KNN,0.862,0.52,0.564,0.088,0.541,0.738,0.697,0.315
WFOv2,1.29,LR,0.778,0.346,0.602,0.192,0.44,0.705,0.69,0.312
WFOv2,1.29,DT,0.865,0.53,0.58,0.087,0.554,0.747,0.71,0.303
WFOv2,1.29,RF,0.9,0.707,0.519,0.036,0.599,0.742,0.675,0.341
WFOv2,1.29,LightGBM,0.885,0.599,0.619,0.07,0.609,0.774,0.743,0.274
WFOv2,1.29,Adaboost,0.829,0.442,0.691,0.147,0.539,0.772,0.763,0.242
WFOv2,1.29,GBDT,0.848,0.478,0.591,0.109,0.528,0.741,0.711,0.299
