oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
WFO,0.07,SVM,0.507,0.174,0.735,0.528,0.281,0.603,0.575,0.418
WFO,0.07,KNN,0.751,0.261,0.49,0.21,0.34,0.64,0.605,0.39
WFO,0.07,LR,0.421,0.17,0.878,0.648,0.285,0.615,0.502,0.466
WFO,0.07,DT,0.82,0.286,0.245,0.093,0.264,0.576,0.386,0.538
WFO,0.07,RF,0.879,0.583,0.286,0.031,0.384,0.627,0.441,0.506
WFO,0.07,LightGBM,0.85,0.422,0.388,0.08,0.404,0.654,0.546,0.437
WFO,0.07,Adaboost,0.678,0.225,0.592,0.309,0.326,0.642,0.638,0.362
WFO,0.07,GBDT,0.818,0.321,0.347,0.111,0.333,0.618,0.499,0.468
WFO2,0.15,SVM,0.777,0.282,0.449,0.173,0.346,0.638,0.582,0.408
WFO2,0.15,KNN,0.756,0.29,0.592,0.219,0.389,0.686,0.673,0.328
WFO2,0.15,LR,0.713,0.25,0.592,0.269,0.352,0.662,0.654,0.345
WFO2,0.15,DT,0.772,0.243,0.347,0.164,0.286,0.592,0.49,0.476
WFO2,0.15,RF,0.845,0.39,0.327,0.077,0.356,0.625,0.482,0.479
WFO2,0.15,LightGBM,0.871,0.515,0.347,0.049,0.415,0.649,0.508,0.463
WFO2,0.15,Adaboost,0.796,0.255,0.286,0.127,0.269,0.58,0.431,0.513
WFO2,0.15,GBDT,0.831,0.354,0.347,0.096,0.351,0.626,0.501,0.467
