oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
WFO,0.07,SVM,0.555,0.169,0.612,0.454,0.265,0.579,0.577,0.422
WFO,0.07,KNN,0.783,0.289,0.449,0.167,0.352,0.641,0.584,0.407
WFO,0.07,LR,0.418,0.159,0.796,0.639,0.264,0.579,0.497,0.474
WFO,0.07,DT,0.823,0.34,0.367,0.108,0.353,0.63,0.52,0.454
WFO,0.07,RF,0.858,0.433,0.265,0.052,0.329,0.606,0.415,0.521
WFO,0.07,LightGBM,0.836,0.357,0.306,0.083,0.33,0.611,0.459,0.494
WFO,0.07,Adaboost,0.625,0.177,0.51,0.358,0.263,0.576,0.569,0.429
WFO,0.07,GBDT,0.78,0.23,0.286,0.145,0.255,0.57,0.428,0.515
WFO2,0.16,SVM,0.761,0.23,0.347,0.176,0.276,0.586,0.488,0.478
WFO2,0.16,KNN,0.756,0.267,0.49,0.204,0.345,0.643,0.607,0.388
WFO2,0.16,LR,0.716,0.239,0.531,0.256,0.329,0.637,0.619,0.378
WFO2,0.16,DT,0.791,0.284,0.388,0.148,0.328,0.62,0.533,0.445
WFO2,0.16,RF,0.847,0.405,0.347,0.077,0.374,0.635,0.504,0.465
WFO2,0.16,LightGBM,0.858,0.438,0.286,0.056,0.346,0.615,0.439,0.507
WFO2,0.16,Adaboost,0.804,0.293,0.347,0.127,0.318,0.61,0.497,0.47
WFO2,0.16,GBDT,0.839,0.388,0.388,0.093,0.388,0.648,0.543,0.438
