oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
WFO,0.07,SVM,0.44,0.155,0.735,0.605,0.256,0.565,0.514,0.467
WFO,0.07,KNN,0.759,0.241,0.388,0.185,0.297,0.601,0.525,0.452
WFO,0.07,LR,0.359,0.153,0.857,0.716,0.26,0.571,0.427,0.516
WFO,0.07,DT,0.812,0.277,0.265,0.105,0.271,0.58,0.409,0.525
WFO,0.07,RF,0.877,0.556,0.306,0.037,0.395,0.635,0.465,0.491
WFO,0.07,LightGBM,0.847,0.413,0.388,0.083,0.4,0.652,0.545,0.437
WFO,0.07,Adaboost,0.646,0.201,0.571,0.343,0.298,0.614,0.611,0.388
WFO,0.07,GBDT,0.836,0.375,0.367,0.093,0.371,0.637,0.523,0.452
WFO2,0.37,SVM,0.748,0.229,0.388,0.198,0.288,0.595,0.523,0.455
WFO2,0.37,KNN,0.732,0.207,0.367,0.213,0.265,0.577,0.501,0.472
WFO2,0.37,LR,0.67,0.224,0.612,0.321,0.328,0.646,0.644,0.356
WFO2,0.37,DT,0.772,0.269,0.429,0.176,0.331,0.626,0.564,0.423
WFO2,0.37,RF,0.858,0.455,0.408,0.074,0.43,0.667,0.567,0.422
WFO2,0.37,LightGBM,0.866,0.483,0.286,0.046,0.359,0.62,0.44,0.506
WFO2,0.37,Adaboost,0.804,0.333,0.49,0.148,0.397,0.671,0.622,0.376
WFO2,0.37,GBDT,0.815,0.321,0.367,0.117,0.343,0.625,0.519,0.455
