oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
WFO,0.07,SVM,0.509,0.172,0.714,0.522,0.277,0.596,0.573,0.421
WFO,0.07,KNN,0.772,0.257,0.388,0.17,0.309,0.609,0.529,0.449
WFO,0.07,LR,0.41,0.165,0.857,0.657,0.276,0.6,0.49,0.476
WFO,0.07,DT,0.815,0.321,0.367,0.117,0.343,0.625,0.519,0.455
WFO,0.07,RF,0.874,0.536,0.306,0.04,0.39,0.633,0.464,0.491
WFO,0.07,LightGBM,0.853,0.417,0.306,0.065,0.353,0.621,0.461,0.493
WFO,0.07,Adaboost,0.692,0.211,0.49,0.278,0.294,0.606,0.584,0.411
WFO,0.07,GBDT,0.804,0.239,0.224,0.108,0.232,0.558,0.359,0.554
WFO2,0.16,SVM,0.761,0.256,0.429,0.188,0.321,0.62,0.561,0.425
WFO2,0.16,KNN,0.748,0.247,0.449,0.207,0.319,0.621,0.573,0.416
WFO2,0.16,LR,0.713,0.241,0.551,0.262,0.335,0.644,0.631,0.368
WFO2,0.16,DT,0.753,0.179,0.245,0.17,0.207,0.538,0.378,0.547
WFO2,0.16,RF,0.847,0.389,0.286,0.068,0.329,0.609,0.437,0.507
WFO2,0.16,LightGBM,0.855,0.414,0.245,0.052,0.308,0.596,0.389,0.535
WFO2,0.16,Adaboost,0.823,0.327,0.327,0.102,0.327,0.612,0.479,0.482
WFO2,0.16,GBDT,0.831,0.306,0.224,0.077,0.259,0.574,0.361,0.551
