oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.871,0.556,0.102,0.012,0.172,0.545,0.185,0.635
No,0,KNN,0.85,0.379,0.224,0.056,0.282,0.584,0.363,0.55
No,0,LR,0.858,0.357,0.102,0.028,0.159,0.537,0.185,0.635
No,0,DT,0.78,0.176,0.184,0.13,0.18,0.527,0.303,0.584
No,0,RF,0.866,0.467,0.143,0.025,0.219,0.559,0.249,0.606
No,0,LightGBM,0.879,0.643,0.184,0.015,0.286,0.584,0.31,0.577
No,0,Adaboost,0.869,0.5,0.306,0.046,0.38,0.63,0.463,0.492
No,0,GBDT,0.812,0.244,0.204,0.096,0.222,0.554,0.333,0.567
Random,0.01,SVM,0.732,0.262,0.571,0.244,0.359,0.664,0.651,0.349
Random,0.01,KNN,0.788,0.292,0.429,0.157,0.347,0.636,0.568,0.419
Random,0.01,LR,0.694,0.24,0.612,0.293,0.345,0.66,0.656,0.344
Random,0.01,DT,0.799,0.25,0.265,0.12,0.257,0.572,0.408,0.526
Random,0.01,RF,0.863,0.455,0.204,0.037,0.282,0.584,0.337,0.563
Random,0.01,LightGBM,0.847,0.367,0.224,0.059,0.278,0.583,0.363,0.55
Random,0.01,Adaboost,0.767,0.284,0.51,0.194,0.365,0.658,0.625,0.373
Random,0.01,GBDT,0.842,0.375,0.306,0.077,0.337,0.614,0.46,0.494
SMOTE,0.01,SVM,0.775,0.294,0.51,0.185,0.373,0.663,0.627,0.37
SMOTE,0.01,KNN,0.78,0.286,0.449,0.17,0.349,0.64,0.583,0.408
SMOTE,0.01,LR,0.713,0.25,0.592,0.269,0.352,0.662,0.654,0.345
SMOTE,0.01,DT,0.786,0.262,0.347,0.148,0.298,0.599,0.493,0.474
SMOTE,0.01,RF,0.858,0.441,0.306,0.059,0.361,0.624,0.462,0.492
SMOTE,0.01,LightGBM,0.861,0.448,0.265,0.049,0.333,0.608,0.415,0.521
SMOTE,0.01,Adaboost,0.818,0.306,0.306,0.105,0.306,0.601,0.456,0.496
SMOTE,0.01,GBDT,0.826,0.326,0.306,0.096,0.316,0.605,0.457,0.495
ADASYN,0.02,SVM,0.753,0.258,0.469,0.204,0.333,0.633,0.591,0.402
ADASYN,0.02,KNN,0.767,0.262,0.429,0.182,0.326,0.623,0.562,0.424
ADASYN,0.02,LR,0.676,0.227,0.612,0.315,0.331,0.649,0.647,0.353
ADASYN,0.02,DT,0.799,0.319,0.469,0.151,0.38,0.659,0.604,0.39
ADASYN,0.02,RF,0.847,0.395,0.306,0.071,0.345,0.618,0.461,0.493
ADASYN,0.02,LightGBM,0.869,0.5,0.327,0.049,0.395,0.639,0.486,0.477
ADASYN,0.02,Adaboost,0.818,0.321,0.347,0.111,0.333,0.618,0.499,0.468
ADASYN,0.02,GBDT,0.858,0.45,0.367,0.068,0.404,0.65,0.527,0.45
BorderlineSMOTE,0.02,SVM,0.767,0.279,0.49,0.191,0.356,0.649,0.61,0.385
BorderlineSMOTE,0.02,KNN,0.764,0.259,0.429,0.185,0.323,0.622,0.562,0.425
BorderlineSMOTE,0.02,LR,0.705,0.244,0.592,0.278,0.345,0.657,0.651,0.349
BorderlineSMOTE,0.02,DT,0.796,0.271,0.327,0.133,0.296,0.597,0.474,0.485
