oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.869,0.5,0.061,0.009,0.109,0.526,0.115,0.664
No,0,KNN,0.85,0.4,0.286,0.065,0.333,0.61,0.438,0.507
No,0,LR,0.858,0.357,0.102,0.028,0.159,0.537,0.185,0.635
No,0,DT,0.853,0.435,0.408,0.08,0.421,0.664,0.565,0.422
No,0,RF,0.871,0.524,0.224,0.031,0.314,0.597,0.365,0.549
No,0,LightGBM,0.869,0.5,0.224,0.034,0.31,0.595,0.364,0.549
No,0,Adaboost,0.855,0.381,0.163,0.04,0.229,0.562,0.279,0.592
No,0,GBDT,0.839,0.378,0.347,0.086,0.362,0.63,0.503,0.466
Random,0.01,SVM,0.713,0.25,0.592,0.269,0.352,0.662,0.654,0.345
Random,0.01,KNN,0.775,0.299,0.531,0.188,0.382,0.671,0.642,0.358
Random,0.01,LR,0.686,0.212,0.51,0.287,0.299,0.612,0.595,0.401
Random,0.01,DT,0.818,0.327,0.367,0.114,0.346,0.627,0.519,0.455
Random,0.01,RF,0.874,0.536,0.306,0.04,0.39,0.633,0.464,0.491
Random,0.01,LightGBM,0.861,0.457,0.327,0.059,0.381,0.634,0.485,0.478
Random,0.01,Adaboost,0.756,0.267,0.49,0.204,0.345,0.643,0.607,0.388
Random,0.01,GBDT,0.845,0.395,0.347,0.08,0.37,0.633,0.504,0.465
SMOTE,0.01,SVM,0.74,0.26,0.531,0.228,0.349,0.651,0.629,0.369
SMOTE,0.01,KNN,0.748,0.277,0.571,0.225,0.373,0.673,0.658,0.342
SMOTE,0.01,LR,0.71,0.239,0.551,0.265,0.333,0.643,0.63,0.369
SMOTE,0.01,DT,0.761,0.244,0.388,0.182,0.299,0.603,0.526,0.452
SMOTE,0.01,RF,0.853,0.44,0.449,0.086,0.444,0.681,0.602,0.394
SMOTE,0.01,LightGBM,0.869,0.5,0.388,0.059,0.437,0.665,0.549,0.435
SMOTE,0.01,Adaboost,0.82,0.359,0.469,0.127,0.407,0.671,0.611,0.386
SMOTE,0.01,GBDT,0.807,0.323,0.429,0.136,0.368,0.646,0.573,0.415
ADASYN,0.02,SVM,0.708,0.237,0.551,0.269,0.331,0.641,0.629,0.37
ADASYN,0.02,KNN,0.737,0.247,0.49,0.225,0.329,0.632,0.6,0.394
ADASYN,0.02,LR,0.7,0.24,0.592,0.284,0.341,0.654,0.648,0.352
ADASYN,0.02,DT,0.796,0.32,0.49,0.157,0.387,0.666,0.619,0.378
ADASYN,0.02,RF,0.874,0.525,0.429,0.059,0.472,0.685,0.589,0.406
ADASYN,0.02,LightGBM,0.877,0.545,0.367,0.046,0.439,0.661,0.53,0.449
ADASYN,0.02,Adaboost,0.826,0.367,0.449,0.117,0.404,0.666,0.595,0.398
ADASYN,0.02,GBDT,0.839,0.378,0.347,0.086,0.362,0.63,0.503,0.466
BorderlineSMOTE,0.37,SVM,0.74,0.265,0.551,0.231,0.358,0.66,0.642,0.357
BorderlineSMOTE,0.37,KNN,0.761,0.3,0.612,0.216,0.403,0.698,0.688,0.314
BorderlineSMOTE,0.37,LR,0.702,0.237,0.571,0.278,0.335,0.647,0.638,0.361
BorderlineSMOTE,0.37,DT,0.807,0.328,0.449,0.139,0.379,0.655,0.59,0.402
BorderlineSMOTE,0.37,RF,0.858,0.46,0.469,0.083,0.465,0.693,0.621,0.38
BorderlineSMOTE,0.37,LightGBM,0.871,0.514,0.388,0.056,0.442,0.666,0.55,0.435
BorderlineSMOTE,0.37,Adaboost,0.834,0.382,0.429,0.105,0.404,0.662,0.58,0.411
BorderlineSMOTE,0.37,GBDT,0.845,0.412,0.429,0.093,0.42,0.668,0.582,0.409
SVMSMOTE,0.06,SVM,0.794,0.274,0.347,0.139,0.306,0.604,0.495,0.472
SVMSMOTE,0.06,KNN,0.756,0.267,0.49,0.204,0.345,0.643,0.607,0.388
SVMSMOTE,0.06,LR,0.796,0.325,0.51,0.16,0.397,0.675,0.635,0.364
SVMSMOTE,0.06,DT,0.81,0.323,0.408,0.13,0.36,0.639,0.556,0.428
SVMSMOTE,0.06,RF,0.874,0.524,0.449,0.062,0.484,0.694,0.607,0.392
SVMSMOTE,0.06,LightGBM,0.866,0.486,0.367,0.059,0.419,0.654,0.528,0.449
SVMSMOTE,0.06,Adaboost,0.826,0.34,0.347,0.102,0.343,0.623,0.501,0.467
SVMSMOTE,0.06,GBDT,0.831,0.348,0.327,0.093,0.337,0.617,0.48,0.481
SMOTUNED,69.93,SVM,0.705,0.22,0.49,0.262,0.304,0.614,0.589,0.406
SMOTUNED,46.26,KNN,0.617,0.199,0.633,0.386,0.302,0.623,0.623,0.377
SMOTUNED,1168.75,LR,0.702,0.237,0.571,0.278,0.335,0.647,0.638,0.361
SMOTUNED,53.5,DT,0.676,0.239,0.673,0.324,0.353,0.675,0.675,0.325
SMOTUNED,214.73,RF,0.78,0.319,0.592,0.191,0.414,0.7,0.683,0.319
SMOTUNED,170.6,LightGBM,0.764,0.311,0.653,0.219,0.421,0.717,0.711,0.29
SMOTUNED,380.34,Adaboost,0.702,0.228,0.531,0.272,0.319,0.63,0.614,0.383
SMOTUNED,701.19,GBDT,0.727,0.281,0.694,0.269,0.4,0.713,0.712,0.288
DAZZLE,478.4911506175995,SVM,0.869,0.0,0.0,0.0,0.0,0.5,0.0,0.707
DAZZLE,478.4911506175995,KNN,0.853,0.385,0.204,0.049,0.267,0.577,0.336,0.564
DAZZLE,478.4911506175995,LR,0.847,0.375,0.245,0.062,0.296,0.592,0.388,0.536
DAZZLE,478.4911506175995,DT,0.815,0.3,0.306,0.108,0.303,0.599,0.456,0.497
DAZZLE,478.4911506175995,RF,0.879,0.611,0.224,0.022,0.328,0.601,0.365,0.549
DAZZLE,478.4911506175995,LightGBM,0.882,0.647,0.224,0.019,0.333,0.603,0.365,0.549
DAZZLE,478.4911506175995,Adaboost,0.831,0.267,0.163,0.068,0.203,0.548,0.278,0.594
DAZZLE,478.4911506175995,GBDT,0.85,0.415,0.347,0.074,0.378,0.636,0.505,0.465
WGAN,13.9,SVM,0.866,0.0,0.0,0.003,0.0,0.498,0.0,0.707
WGAN,13.9,KNN,0.378,0.135,0.694,0.67,0.227,0.512,0.448,0.521
WGAN,13.9,LR,0.745,0.181,0.265,0.182,0.215,0.542,0.401,0.535
WGAN,13.9,DT,0.668,0.105,0.204,0.262,0.139,0.471,0.32,0.593
WGAN,13.9,RF,0.41,0.154,0.776,0.645,0.257,0.565,0.487,0.483
WGAN,13.9,LightGBM,0.418,0.141,0.673,0.62,0.233,0.527,0.486,0.496
WGAN,13.9,Adaboost,0.464,0.124,0.51,0.543,0.2,0.483,0.482,0.517
WGAN,13.9,GBDT,0.499,0.089,0.306,0.472,0.138,0.417,0.387,0.593
RP,1.510711908340454,SVM,0.724,0.25,0.551,0.25,0.344,0.651,0.635,0.363
RP,1.510711908340454,KNN,0.753,0.274,0.531,0.213,0.361,0.659,0.634,0.364
RP,1.510711908340454,LR,0.673,0.208,0.531,0.306,0.299,0.613,0.602,0.396
RP,1.510711908340454,DT,0.791,0.262,0.327,0.139,0.291,0.594,0.474,0.486
RP,1.510711908340454,RF,0.855,0.451,0.469,0.086,0.46,0.691,0.62,0.38
RP,1.510711908340454,LightGBM,0.877,0.556,0.306,0.037,0.395,0.635,0.465,0.491
RP,1.510711908340454,Adaboost,0.818,0.314,0.327,0.108,0.32,0.609,0.478,0.482
RP,1.510711908340454,GBDT,0.823,0.351,0.408,0.114,0.377,0.647,0.559,0.426
Howso,127.49690818786621,SVM,0.66,0.2,0.531,0.321,0.291,0.605,0.596,0.402
Howso,127.49690818786621,KNN,0.668,0.214,0.571,0.318,0.311,0.627,0.622,0.377
Howso,127.49690818786621,LR,0.641,0.207,0.612,0.355,0.309,0.629,0.628,0.372
Howso,127.49690818786621,DT,0.662,0.206,0.551,0.321,0.3,0.615,0.608,0.39
Howso,127.49690818786621,RF,0.729,0.283,0.694,0.265,0.402,0.714,0.714,0.287
Howso,127.49690818786621,LightGBM,0.732,0.278,0.653,0.256,0.39,0.698,0.695,0.305
Howso,127.49690818786621,Adaboost,0.678,0.241,0.673,0.321,0.355,0.676,0.676,0.324
Howso,127.49690818786621,GBDT,0.729,0.276,0.653,0.259,0.388,0.697,0.694,0.306
DS,0.4302706718444824,SVM,0.866,0.0,0.0,0.003,0.0,0.498,0.0,0.707
DS,0.4302706718444824,KNN,0.858,0.429,0.245,0.049,0.312,0.598,0.389,0.535
DS,0.4302706718444824,LR,0.869,0.5,0.122,0.019,0.197,0.552,0.218,0.621
DS,0.4302706718444824,DT,0.834,0.39,0.469,0.111,0.426,0.679,0.614,0.383
DS,0.4302706718444824,RF,0.877,0.615,0.163,0.015,0.258,0.574,0.28,0.592
DS,0.4302706718444824,LightGBM,0.877,0.571,0.245,0.028,0.343,0.609,0.391,0.534
DS,0.4302706718444824,Adaboost,0.858,0.423,0.224,0.046,0.293,0.589,0.363,0.549
DS,0.4302706718444824,GBDT,0.85,0.415,0.347,0.074,0.378,0.636,0.505,0.465
SDV_GC,7.500786066055298,SVM,0.866,0.455,0.102,0.019,0.167,0.542,0.185,0.635
SDV_GC,7.500786066055298,KNN,0.853,0.421,0.327,0.068,0.368,0.629,0.484,0.479
SDV_GC,7.500786066055298,LR,0.879,0.611,0.224,0.022,0.328,0.601,0.365,0.549
SDV_GC,7.500786066055298,DT,0.78,0.254,0.347,0.154,0.293,0.596,0.492,0.475
SDV_GC,7.500786066055298,RF,0.861,0.435,0.204,0.04,0.278,0.582,0.337,0.564
SDV_GC,7.500786066055298,LightGBM,0.871,0.52,0.265,0.037,0.351,0.614,0.416,0.52
SDV_GC,7.500786066055298,Adaboost,0.853,0.4,0.245,0.056,0.304,0.595,0.389,0.535
SDV_GC,7.500786066055298,GBDT,0.855,0.432,0.327,0.065,0.372,0.631,0.484,0.478
SDV_GAN,32.814358949661255,SVM,0.858,0.357,0.102,0.028,0.159,0.537,0.185,0.635
SDV_GAN,32.814358949661255,KNN,0.847,0.382,0.265,0.065,0.313,0.6,0.413,0.522
SDV_GAN,32.814358949661255,LR,0.871,0.529,0.184,0.025,0.273,0.579,0.309,0.577
SDV_GAN,32.814358949661255,DT,0.799,0.229,0.224,0.114,0.227,0.555,0.358,0.554
SDV_GAN,32.814358949661255,RF,0.874,0.545,0.245,0.031,0.338,0.607,0.391,0.534
SDV_GAN,32.814358949661255,LightGBM,0.877,0.56,0.286,0.034,0.378,0.626,0.441,0.506
SDV_GAN,32.814358949661255,Adaboost,0.847,0.357,0.204,0.056,0.26,0.574,0.336,0.564
SDV_GAN,32.814358949661255,GBDT,0.847,0.4,0.327,0.074,0.36,0.626,0.483,0.479
