oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
WFOv2,0.63,SVM,0.802,0.324,0.469,0.148,0.383,0.661,0.605,0.39
WFOv2,0.63,KNN,0.815,0.262,0.224,0.096,0.242,0.564,0.36,0.553
WFOv2,0.63,LR,0.721,0.238,0.51,0.247,0.325,0.632,0.608,0.388
WFOv2,0.63,DT,0.834,0.333,0.265,0.08,0.295,0.593,0.412,0.523
WFOv2,0.63,RF,0.877,0.615,0.163,0.015,0.258,0.574,0.28,0.592
WFOv2,0.63,LightGBM,0.874,0.531,0.347,0.046,0.42,0.65,0.509,0.463
WFOv2,0.63,Adaboost,0.764,0.281,0.51,0.198,0.362,0.656,0.624,0.373
WFOv2,0.63,GBDT,0.845,0.39,0.327,0.077,0.356,0.625,0.482,0.479
