oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
WFOv2,0.49,SVM,0.783,0.278,0.408,0.16,0.331,0.624,0.549,0.434
WFOv2,0.49,KNN,0.847,0.405,0.347,0.077,0.374,0.635,0.504,0.465
WFOv2,0.49,LR,0.743,0.296,0.694,0.25,0.415,0.722,0.721,0.279
WFOv2,0.49,DT,0.818,0.314,0.327,0.108,0.32,0.609,0.478,0.482
WFOv2,0.49,RF,0.887,0.769,0.204,0.009,0.323,0.597,0.338,0.563
WFOv2,0.49,LightGBM,0.877,0.543,0.388,0.049,0.452,0.669,0.551,0.434
WFOv2,0.49,Adaboost,0.786,0.33,0.612,0.188,0.429,0.712,0.698,0.305
WFOv2,0.49,GBDT,0.861,0.469,0.469,0.08,0.469,0.695,0.622,0.379
