oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.869,0.5,0.041,0.006,0.075,0.517,0.078,0.678
No,0,KNN,0.847,0.389,0.286,0.068,0.329,0.609,0.437,0.507
No,0,LR,0.861,0.412,0.143,0.031,0.212,0.556,0.249,0.606
No,0,DT,0.796,0.286,0.367,0.139,0.321,0.614,0.515,0.458
No,0,RF,0.882,0.609,0.286,0.028,0.389,0.629,0.442,0.505
No,0,LightGBM,0.877,0.548,0.347,0.043,0.425,0.652,0.509,0.463
No,0,Adaboost,0.855,0.368,0.143,0.037,0.206,0.553,0.249,0.607
No,0,GBDT,0.839,0.383,0.367,0.09,0.375,0.639,0.523,0.452
Random,0.01,SVM,0.777,0.27,0.408,0.167,0.325,0.621,0.548,0.435
Random,0.01,KNN,0.751,0.244,0.429,0.201,0.311,0.614,0.558,0.428
Random,0.01,LR,0.751,0.284,0.592,0.225,0.384,0.683,0.671,0.33
Random,0.01,DT,0.828,0.353,0.367,0.102,0.36,0.633,0.521,0.453
Random,0.01,RF,0.877,0.538,0.429,0.056,0.477,0.687,0.59,0.406
Random,0.01,LightGBM,0.869,0.5,0.388,0.059,0.437,0.665,0.549,0.435
Random,0.01,Adaboost,0.764,0.299,0.592,0.21,0.397,0.691,0.677,0.325
Random,0.01,GBDT,0.863,0.482,0.551,0.09,0.514,0.731,0.687,0.324
SMOTE,0.01,SVM,0.767,0.243,0.367,0.173,0.293,0.597,0.509,0.464
SMOTE,0.01,KNN,0.764,0.295,0.571,0.207,0.389,0.682,0.664,0.336
SMOTE,0.01,LR,0.743,0.267,0.551,0.228,0.36,0.661,0.643,0.356
SMOTE,0.01,DT,0.777,0.264,0.388,0.164,0.314,0.612,0.53,0.448
SMOTE,0.01,RF,0.855,0.449,0.449,0.083,0.449,0.683,0.603,0.394
SMOTE,0.01,LightGBM,0.866,0.488,0.429,0.068,0.457,0.68,0.587,0.407
SMOTE,0.01,Adaboost,0.839,0.392,0.408,0.096,0.4,0.656,0.562,0.424
SMOTE,0.01,GBDT,0.842,0.407,0.449,0.099,0.427,0.675,0.599,0.396
ADASYN,0.02,SVM,0.767,0.243,0.367,0.173,0.293,0.597,0.509,0.464
ADASYN,0.02,KNN,0.756,0.286,0.571,0.216,0.381,0.678,0.661,0.339
ADASYN,0.02,LR,0.737,0.275,0.612,0.244,0.38,0.684,0.677,0.324
ADASYN,0.02,DT,0.786,0.282,0.408,0.157,0.333,0.625,0.55,0.433
ADASYN,0.02,RF,0.858,0.46,0.469,0.083,0.465,0.693,0.621,0.38
ADASYN,0.02,LightGBM,0.869,0.5,0.449,0.068,0.473,0.691,0.606,0.393
ADASYN,0.02,Adaboost,0.81,0.271,0.265,0.108,0.268,0.579,0.409,0.525
ADASYN,0.02,GBDT,0.842,0.414,0.49,0.105,0.449,0.692,0.633,0.368
BorderlineSMOTE,0.02,SVM,0.769,0.272,0.449,0.182,0.338,0.633,0.58,0.41
BorderlineSMOTE,0.02,KNN,0.78,0.31,0.551,0.185,0.397,0.683,0.657,0.343
BorderlineSMOTE,0.02,LR,0.772,0.316,0.633,0.207,0.422,0.713,0.704,0.298
BorderlineSMOTE,0.02,DT,0.823,0.356,0.429,0.117,0.389,0.656,0.577,0.412
BorderlineSMOTE,0.02,RF,0.855,0.447,0.429,0.08,0.438,0.674,0.585,0.408
BorderlineSMOTE,0.02,LightGBM,0.871,0.512,0.429,0.062,0.467,0.683,0.588,0.406
BorderlineSMOTE,0.02,Adaboost,0.812,0.309,0.347,0.117,0.327,0.615,0.498,0.469
BorderlineSMOTE,0.02,GBDT,0.858,0.458,0.449,0.08,0.454,0.684,0.603,0.394
SVMSMOTE,0.06,SVM,0.869,0.5,0.327,0.049,0.395,0.639,0.486,0.477
SVMSMOTE,0.06,KNN,0.82,0.368,0.51,0.133,0.427,0.689,0.642,0.359
SVMSMOTE,0.06,LR,0.831,0.375,0.429,0.108,0.4,0.66,0.579,0.411
SVMSMOTE,0.06,DT,0.836,0.385,0.408,0.099,0.396,0.655,0.562,0.424
SVMSMOTE,0.06,RF,0.879,0.545,0.49,0.062,0.516,0.714,0.644,0.363
SVMSMOTE,0.06,LightGBM,0.885,0.575,0.469,0.052,0.517,0.708,0.628,0.377
SVMSMOTE,0.06,Adaboost,0.834,0.367,0.367,0.096,0.367,0.636,0.522,0.452
SVMSMOTE,0.06,GBDT,0.861,0.469,0.469,0.08,0.469,0.695,0.622,0.379
SMOTUNED,69.43,SVM,0.74,0.227,0.408,0.21,0.292,0.599,0.538,0.444
SMOTUNED,47.26,KNN,0.767,0.302,0.592,0.207,0.4,0.693,0.678,0.324
SMOTUNED,1378.76,LR,0.748,0.282,0.592,0.228,0.382,0.682,0.67,0.331
SMOTUNED,56.73,DT,0.678,0.237,0.653,0.318,0.348,0.668,0.667,0.333
SMOTUNED,216.6,RF,0.753,0.303,0.673,0.235,0.418,0.719,0.717,0.284
