oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
WFO,0.05,SVM,0.63,0.233,0.714,0.384,0.351,0.665,0.662,0.338
WFO,0.05,KNN,0.8,0.35,0.5,0.151,0.412,0.674,0.629,0.369
WFO,0.05,LR,0.503,0.214,0.952,0.57,0.349,0.691,0.593,0.404
WFO,0.05,DT,0.777,0.234,0.262,0.14,0.247,0.561,0.402,0.531
WFO,0.05,RF,0.857,0.483,0.333,0.058,0.394,0.638,0.492,0.473
WFO,0.05,LightGBM,0.84,0.4,0.286,0.07,0.333,0.608,0.437,0.507
WFO,0.05,Adaboost,0.713,0.284,0.69,0.283,0.403,0.704,0.704,0.297
WFO,0.05,GBDT,0.813,0.316,0.286,0.101,0.3,0.592,0.434,0.51
WFO2,0.18,SVM,0.777,0.281,0.381,0.159,0.323,0.611,0.524,0.452
WFO2,0.18,KNN,0.773,0.333,0.619,0.202,0.433,0.709,0.697,0.305
WFO2,0.18,LR,0.74,0.312,0.714,0.256,0.435,0.729,0.729,0.271
WFO2,0.18,DT,0.75,0.238,0.357,0.186,0.286,0.586,0.496,0.473
WFO2,0.18,RF,0.83,0.355,0.262,0.078,0.301,0.592,0.408,0.525
WFO2,0.18,LightGBM,0.847,0.417,0.238,0.054,0.303,0.592,0.38,0.54
WFO2,0.18,Adaboost,0.837,0.405,0.357,0.085,0.38,0.636,0.514,0.459
WFO2,0.18,GBDT,0.82,0.357,0.357,0.105,0.357,0.626,0.511,0.461
