oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
WFO,0.06,SVM,0.543,0.209,0.81,0.5,0.332,0.655,0.618,0.378
WFO,0.06,KNN,0.827,0.419,0.619,0.14,0.5,0.74,0.72,0.287
WFO,0.06,LR,0.477,0.202,0.929,0.597,0.332,0.666,0.562,0.425
WFO,0.06,DT,0.81,0.297,0.262,0.101,0.278,0.581,0.406,0.527
WFO,0.06,RF,0.853,0.469,0.357,0.066,0.405,0.646,0.517,0.457
WFO,0.06,LightGBM,0.833,0.405,0.405,0.097,0.405,0.654,0.559,0.426
WFO,0.06,Adaboost,0.697,0.275,0.714,0.306,0.397,0.704,0.704,0.296
WFO,0.06,GBDT,0.783,0.311,0.452,0.163,0.369,0.645,0.587,0.404
WFO2,0.13,SVM,0.783,0.342,0.595,0.186,0.435,0.705,0.688,0.315
WFO2,0.13,KNN,0.803,0.38,0.643,0.171,0.478,0.736,0.724,0.28
WFO2,0.13,LR,0.737,0.305,0.69,0.256,0.423,0.717,0.716,0.284
WFO2,0.13,DT,0.777,0.319,0.524,0.182,0.396,0.671,0.639,0.361
WFO2,0.13,RF,0.853,0.476,0.476,0.085,0.476,0.695,0.626,0.375
WFO2,0.13,LightGBM,0.85,0.455,0.357,0.07,0.4,0.644,0.516,0.457
WFO2,0.13,Adaboost,0.8,0.327,0.405,0.136,0.362,0.635,0.551,0.432
WFO2,0.13,GBDT,0.843,0.436,0.405,0.085,0.42,0.66,0.561,0.425
