oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
WFOv2,0.41,SVM,0.827,0.386,0.405,0.105,0.395,0.65,0.557,0.427
WFOv2,0.41,KNN,0.82,0.3,0.214,0.081,0.25,0.566,0.348,0.559
WFOv2,0.41,LR,0.757,0.322,0.667,0.229,0.434,0.719,0.715,0.286
WFOv2,0.41,DT,0.82,0.364,0.381,0.109,0.372,0.636,0.534,0.444
WFOv2,0.41,RF,0.857,0.467,0.167,0.031,0.246,0.568,0.284,0.59
WFOv2,0.41,LightGBM,0.853,0.467,0.333,0.062,0.389,0.636,0.492,0.473
WFOv2,0.41,Adaboost,0.787,0.31,0.429,0.155,0.36,0.637,0.569,0.419
WFOv2,0.41,GBDT,0.817,0.333,0.31,0.101,0.321,0.604,0.461,0.493
