oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
WFO,0.06,SVM,0.633,0.25,0.81,0.395,0.382,0.707,0.692,0.31
WFO,0.06,KNN,0.82,0.4,0.571,0.14,0.471,0.716,0.687,0.319
WFO,0.06,LR,0.503,0.208,0.905,0.562,0.338,0.671,0.59,0.403
WFO,0.06,DT,0.797,0.279,0.286,0.12,0.282,0.583,0.431,0.512
WFO,0.06,RF,0.857,0.483,0.333,0.058,0.394,0.638,0.492,0.473
WFO,0.06,LightGBM,0.847,0.433,0.31,0.066,0.361,0.622,0.465,0.49
WFO,0.06,Adaboost,0.68,0.245,0.619,0.31,0.351,0.654,0.653,0.347
WFO,0.06,GBDT,0.8,0.333,0.429,0.14,0.375,0.645,0.572,0.416
WFO2,0.35,SVM,0.75,0.274,0.476,0.205,0.348,0.635,0.595,0.398
WFO2,0.35,KNN,0.783,0.354,0.667,0.198,0.463,0.734,0.728,0.274
WFO2,0.35,LR,0.75,0.315,0.667,0.236,0.427,0.715,0.712,0.289
WFO2,0.35,DT,0.773,0.29,0.429,0.171,0.346,0.629,0.565,0.422
WFO2,0.35,RF,0.833,0.4,0.381,0.093,0.39,0.644,0.537,0.443
WFO2,0.35,LightGBM,0.86,0.5,0.381,0.062,0.432,0.659,0.542,0.44
WFO2,0.35,Adaboost,0.803,0.345,0.452,0.14,0.392,0.656,0.593,0.4
WFO2,0.35,GBDT,0.82,0.38,0.452,0.12,0.413,0.666,0.598,0.396
