oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
WFO,0.06,SVM,0.617,0.241,0.81,0.415,0.372,0.697,0.679,0.323
WFO,0.06,KNN,0.79,0.286,0.333,0.136,0.308,0.599,0.481,0.481
WFO,0.06,LR,0.483,0.207,0.952,0.593,0.34,0.68,0.57,0.421
WFO,0.06,DT,0.823,0.359,0.333,0.097,0.346,0.618,0.487,0.476
WFO,0.06,RF,0.853,0.455,0.238,0.047,0.312,0.596,0.381,0.54
WFO,0.06,LightGBM,0.857,0.478,0.262,0.047,0.338,0.608,0.411,0.523
WFO,0.06,Adaboost,0.73,0.29,0.643,0.256,0.4,0.694,0.69,0.311
WFO,0.06,GBDT,0.807,0.31,0.31,0.112,0.31,0.599,0.459,0.495
WFO2,0.12,SVM,0.8,0.35,0.5,0.151,0.412,0.674,0.629,0.369
WFO2,0.12,KNN,0.753,0.265,0.429,0.194,0.327,0.617,0.56,0.427
WFO2,0.12,LR,0.73,0.271,0.548,0.24,0.362,0.654,0.636,0.362
WFO2,0.12,DT,0.783,0.255,0.286,0.136,0.27,0.575,0.429,0.514
WFO2,0.12,RF,0.847,0.429,0.286,0.062,0.343,0.612,0.438,0.507
WFO2,0.12,LightGBM,0.86,0.5,0.286,0.047,0.364,0.62,0.44,0.506
WFO2,0.12,Adaboost,0.793,0.3,0.357,0.136,0.326,0.611,0.505,0.465
WFO2,0.12,GBDT,0.823,0.343,0.286,0.089,0.312,0.598,0.435,0.509
