oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
WFOv2,0.6,SVM,0.807,0.31,0.31,0.112,0.31,0.599,0.459,0.495
WFOv2,0.6,KNN,0.833,0.333,0.19,0.062,0.242,0.564,0.317,0.574
WFOv2,0.6,LR,0.74,0.295,0.619,0.24,0.4,0.689,0.682,0.318
WFOv2,0.6,DT,0.817,0.324,0.286,0.097,0.304,0.594,0.434,0.51
WFOv2,0.6,RF,0.85,0.385,0.119,0.031,0.182,0.544,0.212,0.623
WFOv2,0.6,LightGBM,0.853,0.464,0.31,0.058,0.371,0.626,0.466,0.49
WFOv2,0.6,Adaboost,0.767,0.274,0.405,0.174,0.327,0.615,0.543,0.439
WFOv2,0.6,GBDT,0.82,0.324,0.262,0.089,0.289,0.586,0.407,0.526
