oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
WFOv2,0.42,SVM,0.773,0.268,0.357,0.159,0.306,0.599,0.501,0.468
WFOv2,0.42,KNN,0.827,0.386,0.405,0.105,0.395,0.65,0.557,0.427
WFOv2,0.42,LR,0.74,0.275,0.524,0.225,0.361,0.65,0.625,0.372
WFOv2,0.42,DT,0.81,0.326,0.333,0.112,0.329,0.61,0.485,0.478
WFOv2,0.42,RF,0.86,0.5,0.19,0.031,0.276,0.58,0.318,0.573
WFOv2,0.42,LightGBM,0.86,0.5,0.31,0.05,0.382,0.63,0.467,0.49
WFOv2,0.42,Adaboost,0.763,0.29,0.476,0.19,0.36,0.643,0.6,0.394
WFOv2,0.42,GBDT,0.847,0.444,0.381,0.078,0.41,0.652,0.539,0.441
