oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.86,0.5,0.048,0.008,0.087,0.52,0.091,0.673
No,0,KNN,0.843,0.391,0.214,0.054,0.277,0.58,0.349,0.557
No,0,LR,0.87,0.6,0.214,0.023,0.316,0.596,0.351,0.556
No,0,DT,0.797,0.289,0.31,0.124,0.299,0.593,0.457,0.496
No,0,RF,0.847,0.333,0.095,0.031,0.148,0.532,0.173,0.64
No,0,LightGBM,0.853,0.429,0.143,0.031,0.214,0.556,0.249,0.606
No,0,Adaboost,0.843,0.308,0.095,0.035,0.145,0.53,0.173,0.64
No,0,GBDT,0.83,0.286,0.143,0.058,0.19,0.542,0.248,0.607
Random,0.01,SVM,0.77,0.304,0.5,0.186,0.378,0.657,0.619,0.377
Random,0.01,KNN,0.793,0.339,0.5,0.159,0.404,0.671,0.627,0.371
Random,0.01,LR,0.743,0.289,0.571,0.229,0.384,0.671,0.656,0.343
Random,0.01,DT,0.823,0.366,0.357,0.101,0.361,0.628,0.511,0.46
Random,0.01,RF,0.86,0.5,0.262,0.043,0.344,0.61,0.411,0.523
Random,0.01,LightGBM,0.85,0.44,0.262,0.054,0.328,0.604,0.41,0.523
Random,0.01,Adaboost,0.807,0.371,0.548,0.151,0.442,0.698,0.666,0.337
Random,0.01,GBDT,0.833,0.357,0.238,0.07,0.286,0.584,0.379,0.541
SMOTE,0.01,SVM,0.78,0.324,0.524,0.178,0.4,0.673,0.64,0.36
SMOTE,0.01,KNN,0.76,0.297,0.524,0.202,0.379,0.661,0.633,0.366
SMOTE,0.01,LR,0.75,0.306,0.619,0.229,0.409,0.695,0.687,0.314
SMOTE,0.01,DT,0.78,0.306,0.452,0.167,0.365,0.643,0.586,0.405
SMOTE,0.01,RF,0.86,0.5,0.381,0.062,0.432,0.659,0.542,0.44
SMOTE,0.01,LightGBM,0.867,0.538,0.333,0.047,0.412,0.643,0.494,0.473
SMOTE,0.01,Adaboost,0.817,0.367,0.429,0.12,0.396,0.654,0.576,0.413
SMOTE,0.01,GBDT,0.853,0.474,0.429,0.078,0.45,0.676,0.585,0.408
ADASYN,0.01,SVM,0.773,0.309,0.5,0.182,0.382,0.659,0.621,0.376
ADASYN,0.01,KNN,0.747,0.27,0.476,0.209,0.345,0.633,0.594,0.399
ADASYN,0.01,LR,0.727,0.287,0.643,0.26,0.397,0.692,0.688,0.312
ADASYN,0.01,DT,0.79,0.302,0.381,0.143,0.337,0.619,0.527,0.449
ADASYN,0.01,RF,0.847,0.433,0.31,0.066,0.361,0.622,0.465,0.49
ADASYN,0.01,LightGBM,0.87,0.565,0.31,0.039,0.4,0.635,0.468,0.489
ADASYN,0.01,Adaboost,0.823,0.366,0.357,0.101,0.361,0.628,0.511,0.46
ADASYN,0.01,GBDT,0.837,0.387,0.286,0.074,0.329,0.606,0.437,0.508
BorderlineSMOTE,0.01,SVM,0.773,0.29,0.429,0.171,0.346,0.629,0.565,0.422
BorderlineSMOTE,0.01,KNN,0.787,0.323,0.476,0.163,0.385,0.657,0.607,0.388
BorderlineSMOTE,0.01,LR,0.753,0.284,0.5,0.205,0.362,0.647,0.614,0.382
BorderlineSMOTE,0.01,DT,0.787,0.323,0.476,0.163,0.385,0.657,0.607,0.388
BorderlineSMOTE,0.01,RF,0.857,0.484,0.357,0.062,0.411,0.648,0.517,0.457
BorderlineSMOTE,0.01,LightGBM,0.877,0.593,0.381,0.043,0.464,0.669,0.545,0.439
BorderlineSMOTE,0.01,Adaboost,0.833,0.409,0.429,0.101,0.419,0.664,0.58,0.41
BorderlineSMOTE,0.01,GBDT,0.85,0.459,0.405,0.078,0.43,0.664,0.563,0.424
SVMSMOTE,0.05,SVM,0.87,0.579,0.262,0.031,0.361,0.615,0.412,0.522
SVMSMOTE,0.05,KNN,0.81,0.34,0.381,0.12,0.36,0.63,0.532,0.446
SVMSMOTE,0.05,LR,0.85,0.452,0.333,0.066,0.384,0.634,0.491,0.474
SVMSMOTE,0.05,DT,0.787,0.317,0.452,0.159,0.373,0.647,0.588,0.403
SVMSMOTE,0.05,RF,0.87,0.579,0.262,0.031,0.361,0.615,0.412,0.522
SVMSMOTE,0.05,LightGBM,0.86,0.5,0.286,0.047,0.364,0.62,0.44,0.506
SVMSMOTE,0.05,Adaboost,0.853,0.474,0.429,0.078,0.45,0.676,0.585,0.408
SVMSMOTE,0.05,GBDT,0.833,0.382,0.31,0.081,0.342,0.614,0.463,0.492
SMOTUNED,57.13,SVM,0.717,0.274,0.619,0.267,0.38,0.676,0.671,0.329
SMOTUNED,39.03,KNN,0.707,0.27,0.643,0.283,0.38,0.68,0.678,0.322
SMOTUNED,1043.94,LR,0.74,0.291,0.595,0.236,0.391,0.679,0.669,0.331
SMOTUNED,56.87,DT,0.73,0.253,0.476,0.229,0.331,0.624,0.589,0.404
SMOTUNED,215.57,RF,0.77,0.333,0.643,0.209,0.439,0.717,0.709,0.293
SMOTUNED,160.75,LightGBM,0.8,0.378,0.667,0.178,0.483,0.744,0.736,0.267
SMOTUNED,399.86,Adaboost,0.753,0.295,0.548,0.213,0.383,0.667,0.646,0.354
