oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.863,1.0,0.024,0.0,0.047,0.512,0.047,0.69
No,0,KNN,0.857,0.474,0.214,0.039,0.295,0.588,0.35,0.556
No,0,LR,0.87,0.667,0.143,0.012,0.235,0.566,0.25,0.606
No,0,DT,0.76,0.188,0.214,0.151,0.2,0.532,0.342,0.566
No,0,RF,0.863,0.6,0.071,0.008,0.128,0.532,0.133,0.657
No,0,LightGBM,0.857,0.467,0.167,0.031,0.246,0.568,0.284,0.59
No,0,Adaboost,0.867,0.571,0.19,0.023,0.286,0.584,0.319,0.573
No,0,GBDT,0.85,0.429,0.214,0.047,0.286,0.584,0.35,0.557
Random,0.01,SVM,0.75,0.254,0.405,0.194,0.312,0.605,0.539,0.443
Random,0.01,KNN,0.783,0.291,0.381,0.151,0.33,0.615,0.526,0.451
Random,0.01,LR,0.73,0.265,0.524,0.236,0.352,0.644,0.621,0.376
Random,0.01,DT,0.787,0.25,0.262,0.128,0.256,0.567,0.403,0.53
Random,0.01,RF,0.88,0.75,0.214,0.012,0.333,0.601,0.352,0.556
Random,0.01,LightGBM,0.853,0.45,0.214,0.043,0.29,0.586,0.35,0.556
Random,0.01,Adaboost,0.813,0.379,0.524,0.14,0.44,0.692,0.651,0.351
Random,0.01,GBDT,0.843,0.407,0.262,0.062,0.319,0.6,0.409,0.524
SMOTE,0.01,SVM,0.77,0.279,0.405,0.171,0.33,0.617,0.544,0.438
SMOTE,0.01,KNN,0.76,0.286,0.476,0.194,0.357,0.641,0.599,0.395
SMOTE,0.01,LR,0.733,0.268,0.524,0.233,0.355,0.646,0.623,0.375
SMOTE,0.01,DT,0.813,0.375,0.5,0.136,0.429,0.682,0.634,0.366
SMOTE,0.01,RF,0.843,0.407,0.262,0.062,0.319,0.6,0.409,0.524
SMOTE,0.01,LightGBM,0.873,0.591,0.31,0.035,0.406,0.637,0.469,0.489
SMOTE,0.01,Adaboost,0.84,0.425,0.405,0.089,0.415,0.658,0.56,0.426
SMOTE,0.01,GBDT,0.86,0.5,0.405,0.066,0.447,0.669,0.565,0.423
ADASYN,0.01,SVM,0.757,0.262,0.405,0.186,0.318,0.609,0.541,0.441
ADASYN,0.01,KNN,0.753,0.271,0.452,0.198,0.339,0.627,0.579,0.412
ADASYN,0.01,LR,0.713,0.256,0.548,0.26,0.348,0.644,0.63,0.369
ADASYN,0.01,DT,0.777,0.319,0.524,0.182,0.396,0.671,0.639,0.361
