oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
WFO,0.06,SVM,0.563,0.197,0.69,0.457,0.307,0.617,0.608,0.391
WFO,0.06,KNN,0.76,0.232,0.31,0.167,0.265,0.571,0.451,0.502
WFO,0.06,LR,0.497,0.205,0.905,0.57,0.335,0.667,0.583,0.408
WFO,0.06,DT,0.813,0.348,0.381,0.116,0.364,0.632,0.532,0.445
WFO,0.06,RF,0.857,0.478,0.262,0.047,0.338,0.608,0.411,0.523
WFO,0.06,LightGBM,0.837,0.379,0.262,0.07,0.31,0.596,0.409,0.524
WFO,0.06,Adaboost,0.68,0.24,0.595,0.306,0.342,0.645,0.641,0.359
WFO,0.06,GBDT,0.82,0.342,0.31,0.097,0.325,0.606,0.461,0.493
WFO2,0.12,SVM,0.757,0.269,0.429,0.19,0.33,0.619,0.561,0.426
WFO2,0.12,KNN,0.723,0.241,0.452,0.233,0.314,0.61,0.569,0.421
WFO2,0.12,LR,0.723,0.247,0.476,0.236,0.325,0.62,0.587,0.406
WFO2,0.12,DT,0.783,0.22,0.214,0.124,0.217,0.545,0.344,0.562
WFO2,0.12,RF,0.843,0.419,0.31,0.07,0.356,0.62,0.464,0.491
WFO2,0.12,LightGBM,0.827,0.308,0.19,0.07,0.235,0.56,0.316,0.575
WFO2,0.12,Adaboost,0.83,0.385,0.357,0.093,0.37,0.632,0.512,0.459
WFO2,0.12,GBDT,0.83,0.385,0.357,0.093,0.37,0.632,0.512,0.459
