oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
WFO,0.04,SVM,0.58,0.291,0.732,0.459,0.417,0.636,0.622,0.376
WFO,0.04,KNN,0.735,0.403,0.61,0.233,0.485,0.689,0.68,0.321
WFO,0.04,LR,0.525,0.263,0.732,0.528,0.387,0.602,0.574,0.419
WFO,0.04,DT,0.795,0.5,0.366,0.094,0.423,0.636,0.521,0.453
WFO,0.04,RF,0.845,0.679,0.463,0.057,0.551,0.703,0.622,0.382
WFO,0.04,LightGBM,0.835,0.618,0.512,0.082,0.56,0.715,0.658,0.35
WFO,0.04,Adaboost,0.77,0.451,0.561,0.176,0.5,0.692,0.667,0.334
WFO,0.04,GBDT,0.835,0.625,0.488,0.075,0.548,0.706,0.639,0.366
WFO2,0.08,SVM,0.745,0.4,0.488,0.189,0.44,0.65,0.609,0.386
WFO2,0.08,KNN,0.77,0.456,0.634,0.195,0.531,0.72,0.709,0.293
WFO2,0.08,LR,0.765,0.438,0.512,0.17,0.472,0.671,0.634,0.365
WFO2,0.08,DT,0.77,0.424,0.341,0.119,0.378,0.611,0.492,0.473
WFO2,0.08,RF,0.85,0.69,0.488,0.057,0.571,0.716,0.643,0.364
WFO2,0.08,LightGBM,0.845,0.667,0.488,0.063,0.563,0.712,0.642,0.365
WFO2,0.08,Adaboost,0.81,0.543,0.463,0.101,0.5,0.681,0.612,0.386
WFO2,0.08,GBDT,0.84,0.667,0.439,0.057,0.529,0.691,0.599,0.399
