oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.84,0.909,0.244,0.006,0.385,0.619,0.392,0.535
No,0,KNN,0.84,0.696,0.39,0.044,0.5,0.673,0.554,0.432
No,0,LR,0.845,0.727,0.39,0.038,0.508,0.676,0.555,0.432
No,0,DT,0.81,0.532,0.61,0.138,0.568,0.736,0.714,0.293
No,0,RF,0.865,0.818,0.439,0.025,0.571,0.707,0.605,0.397
No,0,LightGBM,0.885,0.821,0.561,0.031,0.667,0.765,0.71,0.311
No,0,Adaboost,0.85,0.667,0.537,0.069,0.595,0.734,0.681,0.331
No,0,GBDT,0.86,0.676,0.61,0.075,0.641,0.767,0.735,0.281
Random,0.01,SVM,0.79,0.49,0.61,0.164,0.543,0.723,0.705,0.299
Random,0.01,KNN,0.77,0.449,0.537,0.17,0.489,0.683,0.652,0.349
Random,0.01,LR,0.79,0.491,0.683,0.182,0.571,0.75,0.744,0.259
Random,0.01,DT,0.745,0.391,0.439,0.176,0.414,0.631,0.573,0.416
Random,0.01,RF,0.885,0.781,0.61,0.044,0.685,0.783,0.745,0.278
Random,0.01,LightGBM,0.86,0.724,0.512,0.05,0.6,0.731,0.665,0.347
Random,0.01,Adaboost,0.85,0.617,0.707,0.113,0.659,0.797,0.787,0.222
Random,0.01,GBDT,0.87,0.714,0.61,0.063,0.658,0.773,0.739,0.28
SMOTE,0.01,SVM,0.8,0.51,0.634,0.157,0.565,0.738,0.724,0.282
SMOTE,0.01,KNN,0.765,0.446,0.61,0.195,0.515,0.707,0.694,0.308
SMOTE,0.01,LR,0.835,0.577,0.732,0.138,0.645,0.797,0.791,0.213
SMOTE,0.01,DT,0.8,0.512,0.512,0.126,0.512,0.693,0.646,0.356
SMOTE,0.01,RF,0.895,0.794,0.659,0.044,0.72,0.807,0.78,0.243
SMOTE,0.01,LightGBM,0.89,0.828,0.585,0.031,0.686,0.777,0.73,0.294
SMOTE,0.01,Adaboost,0.82,0.571,0.488,0.094,0.526,0.697,0.634,0.368
SMOTE,0.01,GBDT,0.86,0.697,0.561,0.063,0.622,0.749,0.702,0.314
ADASYN,0.01,SVM,0.755,0.435,0.659,0.22,0.524,0.719,0.714,0.287
ADASYN,0.01,KNN,0.795,0.5,0.683,0.176,0.577,0.753,0.747,0.256
ADASYN,0.01,LR,0.78,0.478,0.78,0.22,0.593,0.78,0.78,0.22
ADASYN,0.01,DT,0.77,0.439,0.439,0.145,0.439,0.647,0.58,0.41
ADASYN,0.01,RF,0.885,0.75,0.659,0.057,0.701,0.801,0.776,0.245
ADASYN,0.01,LightGBM,0.87,0.759,0.537,0.044,0.629,0.746,0.687,0.329
ADASYN,0.01,Adaboost,0.825,0.579,0.537,0.101,0.557,0.718,0.672,0.335
ADASYN,0.01,GBDT,0.855,0.65,0.634,0.088,0.642,0.773,0.748,0.266
BorderlineSMOTE,0.01,SVM,0.785,0.481,0.61,0.17,0.538,0.72,0.703,0.301
BorderlineSMOTE,0.01,KNN,0.81,0.532,0.61,0.138,0.568,0.736,0.714,0.293
BorderlineSMOTE,0.01,LR,0.815,0.534,0.756,0.17,0.626,0.793,0.791,0.21
BorderlineSMOTE,0.01,DT,0.77,0.449,0.537,0.17,0.489,0.683,0.652,0.349
BorderlineSMOTE,0.01,RF,0.875,0.735,0.61,0.057,0.667,0.777,0.741,0.279
BorderlineSMOTE,0.01,LightGBM,0.855,0.7,0.512,0.057,0.592,0.728,0.664,0.347
BorderlineSMOTE,0.01,Adaboost,0.83,0.595,0.537,0.094,0.564,0.721,0.674,0.334
BorderlineSMOTE,0.01,GBDT,0.835,0.625,0.488,0.075,0.548,0.706,0.639,0.366
SVMSMOTE,0.03,SVM,0.855,0.643,0.659,0.094,0.651,0.782,0.763,0.25
SVMSMOTE,0.03,KNN,0.785,0.478,0.537,0.151,0.506,0.693,0.658,0.345
SVMSMOTE,0.03,LR,0.855,0.643,0.659,0.094,0.651,0.782,0.763,0.25
SVMSMOTE,0.03,DT,0.77,0.449,0.537,0.17,0.489,0.683,0.652,0.349
SVMSMOTE,0.03,RF,0.895,0.794,0.659,0.044,0.72,0.807,0.78,0.243
SVMSMOTE,0.03,LightGBM,0.87,0.742,0.561,0.05,0.639,0.755,0.705,0.312
SVMSMOTE,0.03,Adaboost,0.855,0.667,0.585,0.075,0.623,0.755,0.717,0.298
SVMSMOTE,0.03,GBDT,0.84,0.615,0.585,0.094,0.6,0.746,0.711,0.301
SMOTUNED,56.88,SVM,0.795,0.5,0.659,0.17,0.568,0.744,0.734,0.27
