oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
WFO,0.04,SVM,0.64,0.352,0.902,0.428,0.507,0.737,0.7,0.31
WFO,0.04,KNN,0.8,0.51,0.61,0.151,0.556,0.729,0.71,0.296
WFO,0.04,LR,0.61,0.339,0.951,0.478,0.5,0.737,0.674,0.34
WFO,0.04,DT,0.83,0.595,0.537,0.094,0.564,0.721,0.674,0.334
WFO,0.04,RF,0.87,0.727,0.585,0.057,0.649,0.764,0.722,0.296
WFO,0.04,LightGBM,0.85,0.677,0.512,0.063,0.583,0.725,0.662,0.348
WFO,0.04,Adaboost,0.795,0.5,0.683,0.176,0.577,0.753,0.747,0.256
WFO,0.04,GBDT,0.845,0.625,0.61,0.094,0.617,0.758,0.729,0.284
WFO2,0.08,SVM,0.82,0.553,0.634,0.132,0.591,0.751,0.733,0.275
WFO2,0.08,KNN,0.8,0.509,0.659,0.164,0.574,0.748,0.737,0.268
WFO2,0.08,LR,0.815,0.543,0.61,0.132,0.575,0.739,0.716,0.291
WFO2,0.08,DT,0.83,0.59,0.561,0.101,0.575,0.73,0.691,0.318
WFO2,0.08,RF,0.865,0.719,0.561,0.057,0.63,0.752,0.704,0.313
WFO2,0.08,LightGBM,0.84,0.645,0.488,0.069,0.556,0.709,0.64,0.365
WFO2,0.08,Adaboost,0.815,0.55,0.537,0.113,0.543,0.712,0.669,0.337
WFO2,0.08,GBDT,0.84,0.629,0.537,0.082,0.579,0.727,0.677,0.333
