oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
WFOv2,0.23,SVM,0.765,0.442,0.561,0.182,0.495,0.689,0.665,0.336
WFOv2,0.23,KNN,0.795,0.5,0.488,0.126,0.494,0.681,0.626,0.373
WFOv2,0.23,LR,0.75,0.429,0.659,0.226,0.519,0.716,0.711,0.29
WFOv2,0.23,DT,0.785,0.474,0.439,0.126,0.456,0.657,0.585,0.407
WFOv2,0.23,RF,0.82,0.576,0.463,0.088,0.514,0.688,0.615,0.384
WFOv2,0.23,LightGBM,0.835,0.618,0.512,0.082,0.56,0.715,0.658,0.35
WFOv2,0.23,Adaboost,0.78,0.468,0.537,0.157,0.5,0.69,0.656,0.346
WFOv2,0.23,GBDT,0.84,0.615,0.585,0.094,0.6,0.746,0.711,0.301
