oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
WFO,0.03,SVM,0.59,0.328,0.951,0.503,0.488,0.724,0.653,0.357
WFO,0.03,KNN,0.815,0.538,0.683,0.151,0.602,0.766,0.757,0.248
WFO,0.03,LR,0.53,0.298,0.951,0.579,0.453,0.686,0.584,0.411
WFO,0.03,DT,0.81,0.545,0.439,0.094,0.486,0.672,0.591,0.402
WFO,0.03,RF,0.885,0.8,0.585,0.038,0.676,0.774,0.728,0.294
WFO,0.03,LightGBM,0.865,0.75,0.512,0.044,0.609,0.734,0.667,0.346
WFO,0.03,Adaboost,0.785,0.485,0.78,0.214,0.598,0.783,0.783,0.217
WFO,0.03,GBDT,0.835,0.6,0.585,0.101,0.593,0.742,0.709,0.302
WFO2,0.08,SVM,0.805,0.521,0.61,0.145,0.562,0.733,0.712,0.294
WFO2,0.08,KNN,0.845,0.6,0.732,0.126,0.659,0.803,0.797,0.21
WFO2,0.08,LR,0.815,0.538,0.683,0.151,0.602,0.766,0.757,0.248
WFO2,0.08,DT,0.805,0.524,0.537,0.126,0.53,0.705,0.665,0.34
WFO2,0.08,RF,0.855,0.7,0.512,0.057,0.592,0.728,0.664,0.347
WFO2,0.08,LightGBM,0.86,0.783,0.439,0.031,0.562,0.704,0.604,0.397
WFO2,0.08,Adaboost,0.845,0.619,0.634,0.101,0.627,0.767,0.744,0.268
WFO2,0.08,GBDT,0.84,0.622,0.561,0.088,0.59,0.736,0.695,0.317
