oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
WFO,0.04,SVM,0.59,0.297,0.732,0.447,0.423,0.643,0.63,0.368
WFO,0.04,KNN,0.73,0.377,0.488,0.208,0.426,0.64,0.604,0.391
WFO,0.04,LR,0.58,0.295,0.756,0.465,0.425,0.645,0.626,0.372
WFO,0.04,DT,0.76,0.419,0.439,0.157,0.429,0.641,0.577,0.412
WFO,0.04,RF,0.845,0.639,0.561,0.082,0.597,0.74,0.696,0.316
WFO,0.04,LightGBM,0.86,0.697,0.561,0.063,0.622,0.749,0.702,0.314
WFO,0.04,Adaboost,0.805,0.519,0.659,0.157,0.581,0.751,0.739,0.266
WFO,0.04,GBDT,0.83,0.595,0.537,0.094,0.564,0.721,0.674,0.334
WFO2,0.09,SVM,0.72,0.377,0.561,0.239,0.451,0.661,0.646,0.353
WFO2,0.09,KNN,0.715,0.357,0.488,0.226,0.412,0.631,0.598,0.396
WFO2,0.09,LR,0.75,0.426,0.634,0.22,0.51,0.707,0.7,0.302
WFO2,0.09,DT,0.83,0.581,0.61,0.113,0.595,0.748,0.723,0.287
WFO2,0.09,RF,0.845,0.625,0.61,0.094,0.617,0.758,0.729,0.284
WFO2,0.09,LightGBM,0.85,0.657,0.561,0.075,0.605,0.743,0.698,0.315
WFO2,0.09,Adaboost,0.81,0.535,0.561,0.126,0.548,0.718,0.683,0.323
WFO2,0.09,GBDT,0.83,0.606,0.488,0.082,0.541,0.703,0.637,0.367
