oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.8,0.526,0.244,0.057,0.333,0.594,0.388,0.536
No,0,KNN,0.84,0.667,0.439,0.057,0.529,0.691,0.599,0.399
No,0,LR,0.83,0.652,0.366,0.05,0.469,0.658,0.528,0.45
No,0,DT,0.785,0.479,0.561,0.157,0.517,0.702,0.674,0.33
No,0,RF,0.855,0.75,0.439,0.038,0.554,0.701,0.603,0.398
No,0,LightGBM,0.835,0.643,0.439,0.063,0.522,0.688,0.598,0.399
No,0,Adaboost,0.83,0.621,0.439,0.069,0.514,0.685,0.597,0.4
No,0,GBDT,0.815,0.562,0.439,0.088,0.493,0.675,0.593,0.402
Random,0.01,SVM,0.78,0.475,0.683,0.195,0.56,0.744,0.739,0.263
Random,0.01,KNN,0.785,0.481,0.634,0.176,0.547,0.729,0.717,0.287
Random,0.01,LR,0.775,0.464,0.634,0.189,0.536,0.723,0.712,0.291
Random,0.01,DT,0.785,0.476,0.488,0.138,0.482,0.675,0.623,0.375
Random,0.01,RF,0.865,0.719,0.561,0.057,0.63,0.752,0.704,0.313
Random,0.01,LightGBM,0.845,0.647,0.537,0.075,0.587,0.731,0.679,0.332
Random,0.01,Adaboost,0.82,0.558,0.585,0.119,0.571,0.733,0.703,0.305
Random,0.01,GBDT,0.86,0.697,0.561,0.063,0.622,0.749,0.702,0.314
SMOTE,0.01,SVM,0.79,0.489,0.561,0.151,0.523,0.705,0.676,0.328
SMOTE,0.01,KNN,0.76,0.444,0.683,0.22,0.538,0.731,0.728,0.273
SMOTE,0.01,LR,0.77,0.451,0.561,0.176,0.5,0.692,0.667,0.334
SMOTE,0.01,DT,0.74,0.396,0.512,0.201,0.447,0.655,0.624,0.373
SMOTE,0.01,RF,0.88,0.718,0.683,0.069,0.7,0.807,0.788,0.229
SMOTE,0.01,LightGBM,0.855,0.676,0.561,0.069,0.613,0.746,0.7,0.314
SMOTE,0.01,Adaboost,0.805,0.525,0.512,0.119,0.519,0.696,0.648,0.355
SMOTE,0.01,GBDT,0.82,0.571,0.488,0.094,0.526,0.697,0.634,0.368
ADASYN,0.01,SVM,0.73,0.408,0.707,0.264,0.518,0.722,0.721,0.279
ADASYN,0.01,KNN,0.76,0.451,0.78,0.245,0.571,0.768,0.767,0.233
ADASYN,0.01,LR,0.71,0.387,0.707,0.289,0.5,0.709,0.709,0.291
ADASYN,0.01,DT,0.78,0.459,0.415,0.126,0.436,0.644,0.562,0.423
ADASYN,0.01,RF,0.89,0.721,0.756,0.075,0.738,0.84,0.832,0.181
ADASYN,0.01,LightGBM,0.85,0.649,0.585,0.082,0.615,0.752,0.715,0.299
ADASYN,0.01,Adaboost,0.81,0.535,0.561,0.126,0.548,0.718,0.683,0.323
ADASYN,0.01,GBDT,0.855,0.65,0.634,0.088,0.642,0.773,0.748,0.266
BorderlineSMOTE,0.01,SVM,0.775,0.466,0.659,0.195,0.545,0.732,0.724,0.278
BorderlineSMOTE,0.01,KNN,0.8,0.508,0.756,0.189,0.608,0.784,0.783,0.218
BorderlineSMOTE,0.01,LR,0.72,0.391,0.659,0.264,0.491,0.697,0.695,0.305
BorderlineSMOTE,0.01,DT,0.805,0.519,0.659,0.157,0.581,0.751,0.739,0.266
BorderlineSMOTE,0.01,RF,0.88,0.707,0.707,0.075,0.707,0.816,0.801,0.214
BorderlineSMOTE,0.01,LightGBM,0.875,0.7,0.683,0.075,0.691,0.804,0.786,0.23
BorderlineSMOTE,0.01,Adaboost,0.845,0.625,0.61,0.094,0.617,0.758,0.729,0.284
BorderlineSMOTE,0.01,GBDT,0.845,0.639,0.561,0.082,0.597,0.74,0.696,0.316
SVMSMOTE,0.03,SVM,0.81,0.532,0.61,0.138,0.568,0.736,0.714,0.293
SVMSMOTE,0.03,KNN,0.765,0.45,0.659,0.208,0.535,0.725,0.719,0.283
SVMSMOTE,0.03,LR,0.8,0.51,0.634,0.157,0.565,0.738,0.724,0.282
SVMSMOTE,0.03,DT,0.75,0.418,0.561,0.201,0.479,0.68,0.659,0.342
SVMSMOTE,0.03,RF,0.86,0.667,0.634,0.082,0.65,0.776,0.75,0.265
SVMSMOTE,0.03,LightGBM,0.88,0.718,0.683,0.069,0.7,0.807,0.788,0.229
SVMSMOTE,0.03,Adaboost,0.83,0.59,0.561,0.101,0.575,0.73,0.691,0.318
SVMSMOTE,0.03,GBDT,0.85,0.634,0.634,0.094,0.634,0.77,0.746,0.267
SMOTUNED,59.24,SVM,0.785,0.481,0.634,0.176,0.547,0.729,0.717,0.287
SMOTUNED,37.61,KNN,0.73,0.406,0.683,0.258,0.509,0.713,0.711,0.289
SMOTUNED,804.97,LR,0.755,0.435,0.659,0.22,0.524,0.719,0.714,0.287
SMOTUNED,57.16,DT,0.76,0.441,0.634,0.208,0.52,0.713,0.705,0.297
SMOTUNED,218.38,RF,0.87,0.667,0.732,0.094,0.698,0.819,0.809,0.201
SMOTUNED,170.82,LightGBM,0.81,0.531,0.634,0.145,0.578,0.745,0.728,0.278
SMOTUNED,441.93,Adaboost,0.81,0.532,0.61,0.138,0.568,0.736,0.714,0.293
SMOTUNED,866.37,GBDT,0.855,0.625,0.732,0.113,0.674,0.809,0.802,0.206
DAZZLE,410.4125266075134,SVM,0.81,0.56,0.341,0.069,0.424,0.636,0.5,0.468
DAZZLE,410.4125266075134,KNN,0.82,0.576,0.463,0.088,0.514,0.688,0.615,0.384
DAZZLE,410.4125266075134,LR,0.795,0.5,0.488,0.126,0.494,0.681,0.626,0.373
DAZZLE,410.4125266075134,DT,0.765,0.438,0.512,0.17,0.472,0.671,0.634,0.365
DAZZLE,410.4125266075134,RF,0.845,0.679,0.463,0.057,0.551,0.703,0.622,0.382
DAZZLE,410.4125266075134,LightGBM,0.83,0.613,0.463,0.075,0.528,0.694,0.617,0.383
DAZZLE,410.4125266075134,Adaboost,0.815,0.567,0.415,0.082,0.479,0.666,0.571,0.418
DAZZLE,410.4125266075134,GBDT,0.84,0.629,0.537,0.082,0.579,0.727,0.677,0.333
WGAN,9.8,SVM,0.205,0.205,1.0,1.0,0.34,0.5,0.0,0.707
WGAN,9.8,KNN,0.205,0.205,1.0,1.0,0.34,0.5,0.0,0.707
WGAN,9.8,LR,0.22,0.205,0.976,0.975,0.339,0.5,0.049,0.69
WGAN,9.8,DT,0.205,0.205,1.0,1.0,0.34,0.5,0.0,0.707
WGAN,9.8,RF,0.205,0.205,1.0,1.0,0.34,0.5,0.0,0.707
WGAN,9.8,LightGBM,0.205,0.205,1.0,1.0,0.34,0.5,0.0,0.707
WGAN,9.8,Adaboost,0.21,0.206,1.0,0.994,0.342,0.503,0.012,0.703
WGAN,9.8,GBDT,0.255,0.216,1.0,0.937,0.355,0.531,0.118,0.663
RP,0.813809871673584,SVM,0.745,0.424,0.683,0.239,0.523,0.722,0.72,0.281
RP,0.813809871673584,KNN,0.755,0.435,0.659,0.22,0.524,0.719,0.714,0.287
RP,0.813809871673584,LR,0.75,0.424,0.61,0.214,0.5,0.698,0.687,0.315
RP,0.813809871673584,DT,0.745,0.414,0.585,0.214,0.485,0.686,0.671,0.33
RP,0.813809871673584,RF,0.86,0.651,0.683,0.094,0.667,0.794,0.779,0.234
RP,0.813809871673584,LightGBM,0.855,0.658,0.61,0.082,0.633,0.764,0.733,0.282
RP,0.813809871673584,Adaboost,0.825,0.571,0.585,0.113,0.578,0.736,0.705,0.304
RP,0.813809871673584,GBDT,0.825,0.575,0.561,0.107,0.568,0.727,0.689,0.32
Howso,104.36622643470764,SVM,0.68,0.351,0.659,0.314,0.458,0.672,0.672,0.328
Howso,104.36622643470764,KNN,0.73,0.408,0.707,0.264,0.518,0.722,0.721,0.279
Howso,104.36622643470764,LR,0.755,0.429,0.585,0.201,0.495,0.692,0.676,0.326
Howso,104.36622643470764,DT,0.69,0.373,0.756,0.327,0.5,0.715,0.712,0.288
Howso,104.36622643470764,RF,0.765,0.457,0.78,0.239,0.577,0.771,0.771,0.229
Howso,104.36622643470764,LightGBM,0.785,0.485,0.78,0.214,0.598,0.783,0.783,0.217
Howso,104.36622643470764,Adaboost,0.705,0.371,0.634,0.277,0.468,0.679,0.676,0.324
Howso,104.36622643470764,GBDT,0.735,0.412,0.683,0.252,0.514,0.716,0.714,0.286
DS,0.3423023223876953,SVM,0.825,0.714,0.244,0.025,0.364,0.609,0.39,0.535
DS,0.3423023223876953,KNN,0.81,0.552,0.39,0.082,0.457,0.654,0.548,0.435
DS,0.3423023223876953,LR,0.82,0.6,0.366,0.063,0.455,0.651,0.526,0.451
DS,0.3423023223876953,DT,0.745,0.4,0.488,0.189,0.44,0.65,0.609,0.386
DS,0.3423023223876953,RF,0.835,0.654,0.415,0.057,0.507,0.679,0.576,0.416
DS,0.3423023223876953,LightGBM,0.855,0.7,0.512,0.057,0.592,0.728,0.664,0.347
DS,0.3423023223876953,Adaboost,0.845,0.667,0.488,0.063,0.563,0.712,0.642,0.365
DS,0.3423023223876953,GBDT,0.84,0.636,0.512,0.075,0.568,0.718,0.659,0.349
SDV_GC,7.325451135635376,SVM,0.8,0.524,0.268,0.063,0.355,0.603,0.417,0.519
SDV_GC,7.325451135635376,KNN,0.825,0.6,0.439,0.075,0.507,0.682,0.595,0.4
SDV_GC,7.325451135635376,LR,0.835,0.667,0.39,0.05,0.492,0.67,0.553,0.433
SDV_GC,7.325451135635376,DT,0.76,0.431,0.537,0.182,0.478,0.677,0.648,0.352
SDV_GC,7.325451135635376,RF,0.845,0.692,0.439,0.05,0.537,0.694,0.6,0.398
SDV_GC,7.325451135635376,LightGBM,0.845,0.679,0.463,0.057,0.551,0.703,0.622,0.382
SDV_GC,7.325451135635376,Adaboost,0.825,0.594,0.463,0.082,0.521,0.691,0.616,0.384
SDV_GC,7.325451135635376,GBDT,0.835,0.633,0.463,0.069,0.535,0.697,0.619,0.383
SDV_GAN,31.011937379837036,SVM,0.79,0.478,0.268,0.075,0.344,0.596,0.416,0.52
SDV_GAN,31.011937379837036,KNN,0.825,0.615,0.39,0.063,0.478,0.664,0.551,0.433
SDV_GAN,31.011937379837036,LR,0.825,0.625,0.366,0.057,0.462,0.655,0.527,0.45
SDV_GAN,31.011937379837036,DT,0.755,0.426,0.561,0.195,0.484,0.683,0.661,0.34
SDV_GAN,31.011937379837036,RF,0.85,0.69,0.488,0.057,0.571,0.716,0.643,0.364
SDV_GAN,31.011937379837036,LightGBM,0.83,0.606,0.488,0.082,0.541,0.703,0.637,0.367
SDV_GAN,31.011937379837036,Adaboost,0.83,0.613,0.463,0.075,0.528,0.694,0.617,0.383
SDV_GAN,31.011937379837036,GBDT,0.825,0.6,0.439,0.075,0.507,0.682,0.595,0.4
