oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.855,0.731,0.463,0.044,0.567,0.71,0.624,0.381
No,0,KNN,0.84,0.622,0.561,0.088,0.59,0.736,0.695,0.317
No,0,LR,0.86,0.697,0.561,0.063,0.622,0.749,0.702,0.314
No,0,DT,0.8,0.509,0.707,0.176,0.592,0.766,0.761,0.242
No,0,RF,0.875,0.711,0.659,0.069,0.684,0.795,0.771,0.246
No,0,LightGBM,0.87,0.683,0.683,0.082,0.683,0.801,0.783,0.232
No,0,Adaboost,0.85,0.634,0.634,0.094,0.634,0.77,0.746,0.267
No,0,GBDT,0.83,0.578,0.634,0.119,0.605,0.757,0.737,0.272
Random,0.01,SVM,0.79,0.491,0.683,0.182,0.571,0.75,0.744,0.259
Random,0.01,KNN,0.785,0.485,0.805,0.22,0.606,0.792,0.792,0.208
Random,0.01,LR,0.77,0.462,0.732,0.22,0.566,0.756,0.755,0.245
Random,0.01,DT,0.815,0.538,0.683,0.151,0.602,0.766,0.757,0.248
Random,0.01,RF,0.84,0.6,0.659,0.113,0.628,0.773,0.756,0.254
Random,0.01,LightGBM,0.845,0.604,0.707,0.119,0.652,0.794,0.784,0.224
Random,0.01,Adaboost,0.76,0.444,0.683,0.22,0.538,0.731,0.728,0.273
Random,0.01,GBDT,0.83,0.578,0.634,0.119,0.605,0.757,0.737,0.272
SMOTE,0.09,SVM,0.78,0.474,0.659,0.189,0.551,0.735,0.727,0.276
SMOTE,0.09,KNN,0.79,0.493,0.829,0.22,0.618,0.805,0.804,0.197
SMOTE,0.09,LR,0.78,0.478,0.78,0.22,0.593,0.78,0.78,0.22
SMOTE,0.09,DT,0.795,0.5,0.732,0.189,0.594,0.772,0.769,0.232
SMOTE,0.09,RF,0.83,0.569,0.707,0.138,0.63,0.784,0.777,0.229
SMOTE,0.09,LightGBM,0.85,0.612,0.732,0.119,0.667,0.806,0.799,0.208
SMOTE,0.09,Adaboost,0.785,0.482,0.659,0.182,0.557,0.738,0.73,0.274
SMOTE,0.09,GBDT,0.815,0.542,0.634,0.138,0.584,0.748,0.731,0.277
ADASYN,0.14,SVM,0.69,0.364,0.683,0.308,0.475,0.687,0.687,0.313
ADASYN,0.14,KNN,0.755,0.447,0.829,0.264,0.581,0.783,0.78,0.222
ADASYN,0.14,LR,0.72,0.407,0.805,0.302,0.541,0.751,0.748,0.254
ADASYN,0.14,DT,0.795,0.5,0.732,0.189,0.594,0.772,0.769,0.232
ADASYN,0.14,RF,0.845,0.593,0.78,0.138,0.674,0.821,0.819,0.183
ADASYN,0.14,LightGBM,0.855,0.636,0.683,0.101,0.659,0.791,0.776,0.235
ADASYN,0.14,Adaboost,0.795,0.5,0.707,0.182,0.586,0.762,0.758,0.244
ADASYN,0.14,GBDT,0.845,0.604,0.707,0.119,0.652,0.794,0.784,0.224
BorderlineSMOTE,0.39,SVM,0.72,0.385,0.61,0.252,0.472,0.679,0.672,0.328
BorderlineSMOTE,0.39,KNN,0.78,0.479,0.854,0.239,0.614,0.807,0.805,0.198
BorderlineSMOTE,0.39,LR,0.73,0.416,0.78,0.283,0.542,0.749,0.747,0.253
BorderlineSMOTE,0.39,DT,0.76,0.439,0.61,0.201,0.51,0.704,0.692,0.31
BorderlineSMOTE,0.39,RF,0.83,0.569,0.707,0.138,0.63,0.784,0.777,0.229
BorderlineSMOTE,0.39,LightGBM,0.86,0.644,0.707,0.101,0.674,0.803,0.792,0.219
BorderlineSMOTE,0.39,Adaboost,0.77,0.456,0.634,0.195,0.531,0.72,0.709,0.293
BorderlineSMOTE,0.39,GBDT,0.845,0.6,0.732,0.126,0.659,0.803,0.797,0.21
SVMSMOTE,0.82,SVM,0.815,0.54,0.659,0.145,0.593,0.757,0.744,0.262
SVMSMOTE,0.82,KNN,0.8,0.509,0.707,0.176,0.592,0.766,0.761,0.242
SVMSMOTE,0.82,LR,0.795,0.5,0.707,0.182,0.586,0.762,0.758,0.244
SVMSMOTE,0.82,DT,0.775,0.469,0.732,0.214,0.571,0.759,0.758,0.243
SVMSMOTE,0.82,RF,0.835,0.58,0.707,0.132,0.637,0.788,0.779,0.227
SVMSMOTE,0.82,LightGBM,0.85,0.617,0.707,0.113,0.659,0.797,0.787,0.222
SVMSMOTE,0.82,Adaboost,0.83,0.571,0.683,0.132,0.622,0.775,0.764,0.243
SVMSMOTE,0.82,GBDT,0.84,0.596,0.683,0.119,0.636,0.782,0.769,0.24
SMOTUNED,56.83,SVM,0.745,0.429,0.732,0.252,0.541,0.74,0.74,0.26
SMOTUNED,40.06,KNN,0.755,0.443,0.756,0.245,0.559,0.755,0.755,0.245
SMOTUNED,790.74,LR,0.765,0.459,0.829,0.252,0.591,0.789,0.787,0.215
SMOTUNED,58.34,DT,0.74,0.423,0.732,0.258,0.536,0.737,0.737,0.263
SMOTUNED,216.41,RF,0.83,0.566,0.732,0.145,0.638,0.794,0.789,0.216
SMOTUNED,177.82,LightGBM,0.79,0.492,0.78,0.208,0.604,0.786,0.786,0.214
SMOTUNED,455.3,Adaboost,0.74,0.413,0.634,0.233,0.5,0.701,0.694,0.307
SMOTUNED,904.93,GBDT,0.825,0.562,0.659,0.132,0.607,0.763,0.749,0.259
DAZZLE,287.6354670524597,SVM,0.865,0.792,0.463,0.031,0.585,0.716,0.627,0.38
DAZZLE,287.6354670524597,KNN,0.855,0.667,0.585,0.075,0.623,0.755,0.717,0.298
DAZZLE,287.6354670524597,LR,0.83,0.59,0.561,0.101,0.575,0.73,0.691,0.318
DAZZLE,287.6354670524597,DT,0.795,0.5,0.659,0.17,0.568,0.744,0.734,0.27
DAZZLE,287.6354670524597,RF,0.87,0.683,0.683,0.082,0.683,0.801,0.783,0.232
DAZZLE,287.6354670524597,LightGBM,0.85,0.634,0.634,0.094,0.634,0.77,0.746,0.267
DAZZLE,287.6354670524597,Adaboost,0.83,0.581,0.61,0.113,0.595,0.748,0.723,0.287
DAZZLE,287.6354670524597,GBDT,0.82,0.561,0.561,0.113,0.561,0.724,0.687,0.321
WGAN,12.2,SVM,0.795,0.0,0.0,0.0,0.0,0.5,0.0,0.707
WGAN,12.2,KNN,0.215,0.207,1.0,0.987,0.343,0.506,0.025,0.698
WGAN,12.2,LR,0.235,0.211,1.0,0.962,0.349,0.519,0.073,0.68
WGAN,12.2,DT,0.205,0.205,1.0,1.0,0.34,0.5,0.0,0.707
WGAN,12.2,RF,0.205,0.205,1.0,1.0,0.34,0.5,0.0,0.707
WGAN,12.2,LightGBM,0.205,0.205,1.0,1.0,0.34,0.5,0.0,0.707
WGAN,12.2,Adaboost,0.205,0.205,1.0,1.0,0.34,0.5,0.0,0.707
WGAN,12.2,GBDT,0.205,0.205,1.0,1.0,0.34,0.5,0.0,0.707
RP,0.7514955997467041,SVM,0.77,0.463,0.756,0.226,0.574,0.765,0.765,0.235
RP,0.7514955997467041,KNN,0.81,0.523,0.829,0.195,0.642,0.817,0.817,0.183
RP,0.7514955997467041,LR,0.75,0.438,0.78,0.258,0.561,0.761,0.761,0.239
RP,0.7514955997467041,DT,0.76,0.448,0.732,0.233,0.556,0.75,0.749,0.251
RP,0.7514955997467041,RF,0.845,0.596,0.756,0.132,0.667,0.812,0.808,0.196
RP,0.7514955997467041,LightGBM,0.82,0.547,0.707,0.151,0.617,0.778,0.772,0.233
RP,0.7514955997467041,Adaboost,0.795,0.5,0.707,0.182,0.586,0.762,0.758,0.244
RP,0.7514955997467041,GBDT,0.805,0.517,0.732,0.176,0.606,0.778,0.775,0.227
Howso,102.79861211776733,SVM,0.735,0.417,0.732,0.264,0.531,0.734,0.734,0.266
Howso,102.79861211776733,KNN,0.715,0.386,0.659,0.27,0.486,0.694,0.692,0.308
Howso,102.79861211776733,LR,0.735,0.421,0.78,0.277,0.547,0.752,0.751,0.25
Howso,102.79861211776733,DT,0.695,0.378,0.756,0.321,0.504,0.718,0.716,0.285
Howso,102.79861211776733,RF,0.725,0.41,0.78,0.289,0.538,0.746,0.744,0.257
Howso,102.79861211776733,LightGBM,0.745,0.432,0.78,0.264,0.557,0.758,0.758,0.243
Howso,102.79861211776733,Adaboost,0.76,0.452,0.805,0.252,0.579,0.777,0.776,0.225
Howso,102.79861211776733,GBDT,0.735,0.419,0.756,0.27,0.539,0.743,0.743,0.258
DS,0.3391718864440918,SVM,0.855,0.773,0.415,0.031,0.54,0.692,0.581,0.415
DS,0.3391718864440918,KNN,0.835,0.618,0.512,0.082,0.56,0.715,0.658,0.35
DS,0.3391718864440918,LR,0.855,0.7,0.512,0.057,0.592,0.728,0.664,0.347
DS,0.3391718864440918,DT,0.8,0.509,0.659,0.164,0.574,0.748,0.737,0.268
DS,0.3391718864440918,RF,0.865,0.667,0.683,0.088,0.675,0.797,0.781,0.233
DS,0.3391718864440918,LightGBM,0.865,0.675,0.659,0.082,0.667,0.788,0.767,0.248
DS,0.3391718864440918,Adaboost,0.81,0.535,0.561,0.126,0.548,0.718,0.683,0.323
DS,0.3391718864440918,GBDT,0.86,0.651,0.683,0.094,0.667,0.794,0.779,0.234
SDV_GC,7.029785871505737,SVM,0.85,0.677,0.512,0.063,0.583,0.725,0.662,0.348
SDV_GC,7.029785871505737,KNN,0.84,0.615,0.585,0.094,0.6,0.746,0.711,0.301
SDV_GC,7.029785871505737,LR,0.855,0.688,0.537,0.063,0.603,0.737,0.682,0.331
SDV_GC,7.029785871505737,DT,0.8,0.509,0.659,0.164,0.574,0.748,0.737,0.268
SDV_GC,7.029785871505737,RF,0.87,0.692,0.659,0.075,0.675,0.792,0.769,0.247
SDV_GC,7.029785871505737,LightGBM,0.85,0.634,0.634,0.094,0.634,0.77,0.746,0.267
