oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
WFOv2,0.22,SVM,0.79,0.49,0.585,0.157,0.533,0.714,0.691,0.314
WFOv2,0.22,KNN,0.825,0.588,0.488,0.088,0.533,0.7,0.636,0.367
WFOv2,0.22,LR,0.765,0.459,0.829,0.252,0.591,0.789,0.787,0.215
WFOv2,0.22,DT,0.785,0.48,0.585,0.164,0.527,0.711,0.689,0.315
WFOv2,0.22,RF,0.885,0.781,0.61,0.044,0.685,0.783,0.745,0.278
WFOv2,0.22,LightGBM,0.815,0.545,0.585,0.126,0.565,0.73,0.701,0.306
WFOv2,0.22,Adaboost,0.835,0.574,0.756,0.145,0.653,0.806,0.803,0.201
WFOv2,0.22,GBDT,0.815,0.55,0.537,0.113,0.543,0.712,0.669,0.337
