oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
WFOv2,0.23,SVM,0.81,0.532,0.61,0.138,0.568,0.736,0.714,0.293
WFOv2,0.23,KNN,0.82,0.576,0.463,0.088,0.514,0.688,0.615,0.384
WFOv2,0.23,LR,0.79,0.492,0.732,0.195,0.588,0.768,0.767,0.235
WFOv2,0.23,DT,0.755,0.4,0.39,0.151,0.395,0.62,0.535,0.444
WFOv2,0.23,RF,0.825,0.6,0.439,0.075,0.507,0.682,0.595,0.4
WFOv2,0.23,LightGBM,0.82,0.576,0.463,0.088,0.514,0.688,0.615,0.384
WFOv2,0.23,Adaboost,0.78,0.473,0.634,0.182,0.542,0.726,0.714,0.289
WFOv2,0.23,GBDT,0.84,0.629,0.537,0.082,0.579,0.727,0.677,0.333
