oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.986,0.0,0.0,0.0,0.0,0.5,0.0,0.707
No,0,KNN,0.986,0.0,0.0,0.0,0.0,0.5,0.0,0.707
No,0,LR,0.952,0.053,0.143,0.037,0.077,0.553,0.249,0.607
No,0,DT,0.966,0.083,0.143,0.022,0.105,0.56,0.249,0.606
No,0,RF,0.986,0.0,0.0,0.0,0.0,0.5,0.0,0.707
No,0,LightGBM,0.98,0.364,0.571,0.014,0.444,0.779,0.723,0.303
No,0,Adaboost,0.978,0.25,0.286,0.012,0.267,0.637,0.443,0.505
No,0,GBDT,0.95,0.05,0.143,0.039,0.074,0.552,0.249,0.607
Random,0.01,SVM,0.98,0.0,0.0,0.006,0.0,0.497,0.0,0.707
Random,0.01,KNN,0.968,0.0,0.0,0.018,0.0,0.491,0.0,0.707
Random,0.01,LR,0.924,0.03,0.143,0.065,0.05,0.539,0.248,0.608
Random,0.01,DT,0.966,0.222,0.571,0.028,0.32,0.772,0.72,0.304
Random,0.01,RF,0.984,0.0,0.0,0.002,0.0,0.499,0.0,0.707
Random,0.01,LightGBM,0.98,0.2,0.143,0.008,0.167,0.567,0.25,0.606
Random,0.01,Adaboost,0.972,0.182,0.286,0.018,0.222,0.634,0.443,0.505
Random,0.01,GBDT,0.972,0.231,0.429,0.02,0.3,0.704,0.596,0.404
SMOTE,0.01,SVM,0.614,0.016,0.429,0.383,0.03,0.523,0.506,0.487
SMOTE,0.01,KNN,0.84,0.038,0.429,0.154,0.07,0.637,0.569,0.419
SMOTE,0.01,LR,0.642,0.022,0.571,0.357,0.043,0.607,0.605,0.394
SMOTE,0.01,DT,0.966,0.222,0.571,0.028,0.32,0.772,0.72,0.304
SMOTE,0.01,RF,0.97,0.214,0.429,0.022,0.286,0.703,0.596,0.404
SMOTE,0.01,LightGBM,0.97,0.214,0.429,0.022,0.286,0.703,0.596,0.404
SMOTE,0.01,Adaboost,0.97,0.214,0.429,0.022,0.286,0.703,0.596,0.404
SMOTE,0.01,GBDT,0.978,0.25,0.286,0.012,0.267,0.637,0.443,0.505
ADASYN,0.03,SVM,0.606,0.015,0.429,0.391,0.03,0.519,0.503,0.49
ADASYN,0.03,KNN,0.74,0.023,0.429,0.256,0.044,0.586,0.544,0.443
ADASYN,0.03,LR,0.64,0.017,0.429,0.357,0.032,0.536,0.514,0.476
ADASYN,0.03,DT,0.97,0.25,0.571,0.024,0.348,0.774,0.721,0.304
ADASYN,0.03,RF,0.974,0.2,0.286,0.016,0.235,0.635,0.443,0.505
ADASYN,0.03,LightGBM,0.978,0.25,0.286,0.012,0.267,0.637,0.443,0.505
ADASYN,0.03,Adaboost,0.982,0.25,0.143,0.006,0.182,0.568,0.25,0.606
ADASYN,0.03,GBDT,0.972,0.182,0.286,0.018,0.222,0.634,0.443,0.505
BorderlineSMOTE,0.03,SVM,0.58,0.019,0.571,0.42,0.037,0.576,0.576,0.424
BorderlineSMOTE,0.03,KNN,0.918,0.028,0.143,0.071,0.047,0.536,0.248,0.608
BorderlineSMOTE,0.03,LR,0.512,0.02,0.714,0.491,0.039,0.612,0.595,0.402
BorderlineSMOTE,0.03,DT,0.958,0.0,0.0,0.028,0.0,0.486,0.0,0.707
BorderlineSMOTE,0.03,RF,0.986,0.5,0.143,0.002,0.222,0.57,0.25,0.606
BorderlineSMOTE,0.03,LightGBM,0.976,0.222,0.286,0.014,0.25,0.636,0.443,0.505
BorderlineSMOTE,0.03,Adaboost,0.974,0.2,0.286,0.016,0.235,0.635,0.443,0.505
BorderlineSMOTE,0.03,GBDT,0.978,0.0,0.0,0.008,0.0,0.496,0.0,0.707
SVMSMOTE,0.03,SVM,0.806,0.031,0.429,0.189,0.058,0.62,0.561,0.426
SVMSMOTE,0.03,KNN,0.918,0.028,0.143,0.071,0.047,0.536,0.248,0.608
SVMSMOTE,0.03,LR,0.524,0.021,0.714,0.479,0.04,0.618,0.603,0.394
