oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
WFO2,0.11,SVM,0.606,0.015,0.429,0.391,0.03,0.519,0.503,0.49
WFO2,0.11,KNN,0.77,0.034,0.571,0.227,0.065,0.672,0.657,0.343
WFO2,0.11,LR,0.64,0.022,0.571,0.359,0.043,0.606,0.604,0.395
WFO2,0.11,DT,0.976,0.308,0.571,0.018,0.4,0.777,0.722,0.303
WFO2,0.11,RF,0.976,0.273,0.429,0.016,0.333,0.706,0.597,0.404
WFO2,0.11,LightGBM,0.974,0.25,0.429,0.018,0.316,0.705,0.597,0.404
WFO2,0.11,Adaboost,0.968,0.091,0.143,0.02,0.111,0.561,0.249,0.606
WFO2,0.11,GBDT,0.98,0.286,0.286,0.01,0.286,0.638,0.443,0.505
