oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
WFO2,0.11,SVM,0.628,0.016,0.429,0.369,0.031,0.53,0.51,0.481
WFO2,0.11,KNN,0.752,0.032,0.571,0.245,0.061,0.663,0.65,0.349
WFO2,0.11,LR,0.638,0.022,0.571,0.361,0.042,0.605,0.603,0.396
WFO2,0.11,DT,0.96,0.19,0.571,0.034,0.286,0.768,0.718,0.304
WFO2,0.11,RF,0.982,0.333,0.286,0.008,0.308,0.639,0.444,0.505
WFO2,0.11,LightGBM,0.976,0.222,0.286,0.014,0.25,0.636,0.443,0.505
WFO2,0.11,Adaboost,0.968,0.154,0.286,0.022,0.2,0.632,0.442,0.505
WFO2,0.11,GBDT,0.98,0.286,0.286,0.01,0.286,0.638,0.443,0.505
