oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
WFO2,0.12,SVM,0.614,0.016,0.429,0.383,0.03,0.523,0.506,0.487
WFO2,0.12,KNN,0.758,0.025,0.429,0.237,0.047,0.596,0.549,0.438
WFO2,0.12,LR,0.628,0.021,0.571,0.371,0.041,0.6,0.599,0.401
WFO2,0.12,DT,0.96,0.19,0.571,0.034,0.286,0.768,0.718,0.304
WFO2,0.12,RF,0.978,0.3,0.429,0.014,0.353,0.707,0.597,0.404
WFO2,0.12,LightGBM,0.978,0.3,0.429,0.014,0.353,0.707,0.597,0.404
WFO2,0.12,Adaboost,0.97,0.1,0.143,0.018,0.118,0.562,0.249,0.606
WFO2,0.12,GBDT,0.98,0.286,0.286,0.01,0.286,0.638,0.443,0.505
