oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
WFO,0.02,SVM,0.573,0.022,0.8,0.43,0.043,0.685,0.666,0.335
WFO,0.02,KNN,0.968,0.0,0.0,0.02,0.0,0.49,0.0,0.707
WFO,0.02,LR,0.255,0.016,1.0,0.754,0.032,0.623,0.394,0.533
WFO,0.02,DT,0.976,0.0,0.0,0.012,0.0,0.494,0.0,0.707
WFO,0.02,RF,0.988,0.0,0.0,0.0,0.0,0.5,0.0,0.707
WFO,0.02,LightGBM,0.981,0.0,0.0,0.007,0.0,0.496,0.0,0.707
WFO,0.02,Adaboost,0.944,0.05,0.2,0.047,0.08,0.577,0.331,0.567
WFO,0.02,GBDT,0.978,0.0,0.0,0.01,0.0,0.495,0.0,0.707
WFO2,0.05,SVM,0.879,0.021,0.2,0.113,0.038,0.543,0.326,0.571
WFO2,0.05,KNN,0.908,0.0,0.0,0.081,0.0,0.459,0.0,0.709
WFO2,0.05,LR,0.765,0.021,0.4,0.231,0.04,0.585,0.526,0.455
WFO2,0.05,DT,0.959,0.0,0.0,0.029,0.0,0.485,0.0,0.707
WFO2,0.05,RF,0.961,0.0,0.0,0.027,0.0,0.486,0.0,0.707
WFO2,0.05,LightGBM,0.978,0.0,0.0,0.01,0.0,0.495,0.0,0.707
WFO2,0.05,Adaboost,0.956,0.067,0.2,0.034,0.1,0.583,0.331,0.566
WFO2,0.05,GBDT,0.983,0.0,0.0,0.005,0.0,0.498,0.0,0.707
