oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
WFO,0.02,SVM,0.566,0.011,0.4,0.432,0.022,0.484,0.469,0.523
WFO,0.02,KNN,0.966,0.0,0.0,0.022,0.0,0.489,0.0,0.707
WFO,0.02,LR,0.153,0.011,0.8,0.855,0.022,0.472,0.245,0.621
WFO,0.02,DT,0.978,0.0,0.0,0.01,0.0,0.495,0.0,0.707
WFO,0.02,RF,0.988,0.0,0.0,0.0,0.0,0.5,0.0,0.707
WFO,0.02,LightGBM,0.988,0.0,0.0,0.0,0.0,0.5,0.0,0.707
WFO,0.02,Adaboost,0.925,0.0,0.0,0.064,0.0,0.468,0.0,0.709
WFO,0.02,GBDT,0.985,0.0,0.0,0.002,0.0,0.499,0.0,0.707
WFO2,0.05,SVM,0.774,0.022,0.4,0.221,0.041,0.589,0.529,0.452
WFO2,0.05,KNN,0.917,0.061,0.4,0.076,0.105,0.662,0.558,0.428
WFO2,0.05,LR,0.803,0.037,0.6,0.194,0.069,0.703,0.688,0.314
WFO2,0.05,DT,0.956,0.0,0.0,0.032,0.0,0.484,0.0,0.707
WFO2,0.05,RF,0.959,0.0,0.0,0.029,0.0,0.485,0.0,0.707
WFO2,0.05,LightGBM,0.978,0.0,0.0,0.01,0.0,0.495,0.0,0.707
WFO2,0.05,Adaboost,0.959,0.071,0.2,0.032,0.105,0.584,0.332,0.566
WFO2,0.05,GBDT,0.978,0.0,0.0,0.01,0.0,0.495,0.0,0.707
