oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
WFOv2,0.18,SVM,0.871,0.038,0.4,0.123,0.07,0.639,0.549,0.433
WFOv2,0.18,KNN,0.981,0.0,0.0,0.007,0.0,0.496,0.0,0.707
WFOv2,0.18,LR,0.791,0.034,0.6,0.206,0.065,0.697,0.683,0.318
WFOv2,0.18,DT,0.978,0.167,0.2,0.012,0.182,0.594,0.333,0.566
WFOv2,0.18,RF,0.985,0.0,0.0,0.002,0.0,0.499,0.0,0.707
WFOv2,0.18,LightGBM,0.985,0.333,0.2,0.005,0.25,0.598,0.333,0.566
WFOv2,0.18,Adaboost,0.959,0.071,0.2,0.032,0.105,0.584,0.332,0.566
WFOv2,0.18,GBDT,0.981,0.0,0.0,0.007,0.0,0.496,0.0,0.707
