oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
WFO,0.02,SVM,0.51,0.01,0.4,0.489,0.019,0.456,0.449,0.547
WFO,0.02,KNN,0.968,0.0,0.0,0.02,0.0,0.49,0.0,0.707
WFO,0.02,LR,0.284,0.013,0.8,0.722,0.026,0.539,0.412,0.53
WFO,0.02,DT,0.971,0.0,0.0,0.017,0.0,0.491,0.0,0.707
WFO,0.02,RF,0.985,0.0,0.0,0.002,0.0,0.499,0.0,0.707
WFO,0.02,LightGBM,0.983,0.0,0.0,0.005,0.0,0.498,0.0,0.707
WFO,0.02,Adaboost,0.954,0.0,0.0,0.034,0.0,0.483,0.0,0.708
WFO,0.02,GBDT,0.981,0.0,0.0,0.007,0.0,0.496,0.0,0.707
WFO2,0.05,SVM,0.847,0.017,0.2,0.145,0.031,0.528,0.324,0.575
WFO2,0.05,KNN,0.93,0.0,0.0,0.059,0.0,0.471,0.0,0.708
WFO2,0.05,LR,0.791,0.024,0.4,0.204,0.044,0.598,0.532,0.448
WFO2,0.05,DT,0.968,0.0,0.0,0.02,0.0,0.49,0.0,0.707
WFO2,0.05,RF,0.976,0.0,0.0,0.012,0.0,0.494,0.0,0.707
WFO2,0.05,LightGBM,0.976,0.0,0.0,0.012,0.0,0.494,0.0,0.707
WFO2,0.05,Adaboost,0.934,0.0,0.0,0.054,0.0,0.473,0.0,0.708
WFO2,0.05,GBDT,0.976,0.0,0.0,0.012,0.0,0.494,0.0,0.707
