oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
WFO,0.02,SVM,0.553,0.011,0.4,0.445,0.021,0.478,0.465,0.528
WFO,0.02,KNN,0.973,0.0,0.0,0.015,0.0,0.493,0.0,0.707
WFO,0.02,LR,0.35,0.015,0.8,0.656,0.029,0.572,0.481,0.485
WFO,0.02,DT,0.978,0.0,0.0,0.01,0.0,0.495,0.0,0.707
WFO,0.02,RF,0.983,0.0,0.0,0.005,0.0,0.498,0.0,0.707
WFO,0.02,LightGBM,0.981,0.0,0.0,0.007,0.0,0.496,0.0,0.707
WFO,0.02,Adaboost,0.93,0.0,0.0,0.059,0.0,0.471,0.0,0.708
WFO,0.02,GBDT,0.973,0.0,0.0,0.015,0.0,0.493,0.0,0.707
WFO2,0.05,SVM,0.847,0.032,0.4,0.147,0.06,0.626,0.545,0.437
WFO2,0.05,KNN,0.898,0.026,0.2,0.093,0.045,0.553,0.328,0.57
WFO2,0.05,LR,0.806,0.025,0.4,0.189,0.048,0.605,0.536,0.445
WFO2,0.05,DT,0.949,0.0,0.0,0.039,0.0,0.48,0.0,0.708
WFO2,0.05,RF,0.961,0.0,0.0,0.027,0.0,0.486,0.0,0.707
WFO2,0.05,LightGBM,0.976,0.0,0.0,0.012,0.0,0.494,0.0,0.707
WFO2,0.05,Adaboost,0.937,0.0,0.0,0.052,0.0,0.474,0.0,0.708
WFO2,0.05,GBDT,0.976,0.0,0.0,0.012,0.0,0.494,0.0,0.707
