oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
WFOv2,0.43,SVM,0.811,0.013,0.2,0.182,0.025,0.509,0.321,0.58
WFOv2,0.43,KNN,0.981,0.0,0.0,0.007,0.0,0.496,0.0,0.707
WFOv2,0.43,LR,0.743,0.028,0.6,0.256,0.054,0.672,0.664,0.336
WFOv2,0.43,DT,0.981,0.0,0.0,0.007,0.0,0.496,0.0,0.707
WFOv2,0.43,RF,0.988,0.0,0.0,0.0,0.0,0.5,0.0,0.707
WFOv2,0.43,LightGBM,0.985,0.0,0.0,0.002,0.0,0.499,0.0,0.707
WFOv2,0.43,Adaboost,0.961,0.0,0.0,0.027,0.0,0.486,0.0,0.707
WFOv2,0.43,GBDT,0.985,0.0,0.0,0.002,0.0,0.499,0.0,0.707
